Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
12530;5.01278;47.94806;"05° 00' 46.00'' Est, 47° 56' 53.00'' Nord";"52017";;"R ANATOLE GABEUR LA POSTE D3";"52210";"ARC-EN-BARROIS";"Mât"; 12.0;
12532;5.01306;47.94556;"05° 00' 47.00'' Est, 47° 56' 44.00'' Nord";"52017";"LA ROCHOTTE";;"52210";"ARC-EN-BARROIS";"Pylône autostable"; 24.0;
12534;4.91889;48.03667;"04° 55' 08.00'' Est, 48° 02' 12.00'' Nord";"52114";;"18 R DE PENTHIEVRE LA POSTE";"52120";"CHATEAUVILLAIN";"Bâtiment"; 10.0;
12540;5.14750;47.71833;"05° 08' 51.00'' Est, 47° 43' 06.00'' Nord";"52499";"CÔTE MALIN";;"52160";"VAILLANT";"Pylône autostable"; 26.0;"ORANGE Services Fixes"
12556;4.83667;48.42139;"04° 50' 12.00'' Est, 48° 25' 17.00'' Nord";"52479";"LE MARCHAT";;"52220";"SOMMEVOIRE";"Pylône autostable"; 25.0;
12558;4.84056;48.41139;"04° 50' 26.00'' Est, 48° 24' 41.00'' Nord";"52479";;"R DE L'AUDITOIRE CENTRAL TÉLÉPHONIQUE";"52220";"SOMMEVOIRE";"Mât"; 11.0;
12562;5.48944;48.29444;"05° 29' 22.00'' Est, 48° 17' 40.00'' Nord";"52407";"COTE DES HAUTS";;"52700";"PREZ-SOUS-LAFAUCHE";"Pylône autostable"; 31.0;
12564;5.49278;48.28528;"05° 29' 34.00'' Est, 48° 17' 07.00'' Nord";"52407";;"CD148 OUTREMONT-LEURVILLE CENTRAL TÉLÉPHONIQUE";"52700";"PREZ-SOUS-LAFAUCHE";"Mât"; 11.0;
33183;5.48722;48.00000;"05° 29' 14.00'' Est, 48° 00' 00.00'' Nord";"52332";;"CROISEMENT D107/D74 CHATEAU D'EAU MONTIGNY LE ROI";"52240";"VAL-DE-MEUSE";"Château d'eau - réservoir"; 35.0;"Commune, communauté de commune"
80074;5.18556;47.69194;"05° 11' 08.00'' Est, 47° 41' 31.00'' Nord";"52519";"COMBE SUZON";"A 31 PK 87,800";"52190";"VESVRES-SOUS-CHALANCEY";"Pylône autostable"; 50.0;"Sociétés d'Autoroutes"
80094;5.49250;47.94806;"05° 29' 33.00'' Est, 47° 56' 53.00'' Nord";"52059";"LES FOUILLIES";"RD 240";"52360";"BONNECOURT";"Pylône autostable"; 12.0;"TDF"
80110;5.73806;47.95389;"05° 44' 17.00'' Est, 47° 57' 14.00'' Nord";"52060";;"CHEM DE GRAYE CH D'EAU";"52400";"BOURBONNE-LES-BAINS";"Château d'eau - réservoir"; 26.8;"Commune, communauté de commune"
98364;5.14139;48.49972;"05° 08' 29.00'' Est, 48° 29' 59.00'' Nord";"52156";"JOIDINVAL";"TERRAIN COMMUNAL";"52300";"CUREL";"Pylône autostable"; 42.0;"ORANGE"
111280;5.66028;48.11444;"05° 39' 37.00'' Est, 48° 06' 52.00'' Nord";"52217";"BOIS DE ROBÉCEUIL";;"52150";"GERMAINVILLIERS";"Pylône autostable";;
154091;4.88361;48.58556;"04° 53' 01.00'' Est, 48° 35' 08.00'' Nord";"52182";;"28 R DE LA GARE";"52290";"ECLARON-BRAUCOURT-SAINTE-LIVIERE";"Support non décrit"; 10.0;
169562;5.33806;47.86833;"05° 20' 17.00'' Est, 47° 52' 06.00'' Nord";"52269";;"CHR";"52200";"LANGRES";"Support non décrit"; 25.0;
194196;5.14361;48.09417;"05° 08' 37.00'' Est, 48° 05' 39.00'' Nord";"52121";;"TOUR ASHTOM";"52000";"CHAUMONT";"Support non décrit"; 40.0;
194202;4.89083;48.61528;"04° 53' 27.00'' Est, 48° 36' 55.00'' Nord";"52327";;"D 384 BORDURE CANAL D AMENEE";"52100";"MOESLAINS";"Support non décrit"; 15.0;
