Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
14166;2.98556;50.08639;"02° 59' 08.00'' Est, 50° 05' 11.00'' Nord";"62117";;"R DU MARÉCHAL FOCH";"62124";"BERTINCOURT";"Pylône autostable"; 20.0;"ORANGE Services Fixes"
23001;1.60389;50.72389;"01° 36' 14.00'' Est, 50° 43' 26.00'' Nord";"62160";;"25 R VICTOR HUGO";"62200";"BOULOGNE-SUR-MER";"Bâtiment"; 23.0;"Copropriété, Syndic, SCI"
35519;2.81833;50.29194;"02° 49' 06.00'' Est, 50° 17' 31.00'' Nord";"62817";;"R VOLTA LES AIGUILLES ZI DE L'EST";"62217";"TILLOY-LES-MOFFLAINES";"Pylône autostable"; 40.0;"HIVORY"
35521;3.07639;50.11028;"03° 04' 35.00'' Est, 50° 06' 37.00'' Nord";"62421";;"CHEMIN D'ARRAS RUE D'HERMIES VC 3";"62147";"HAVRINCOURT";"Château d'eau - réservoir"; 25.0;"Syndicat des eaux, Adduction"
35681;1.57667;50.47861;"01° 34' 36.00'' Est, 50° 28' 43.00'' Nord";"62261";"STELLA PLAGE";"50 R DES ALGUES RÉS.LE DOMINO IMM. BELHORIZON";"62780";"CUCQ";"Immeuble"; 17.0;"Copropriété, Syndic, SCI"
35691;1.61250;50.71722;"01° 36' 45.00'' Est, 50° 43' 02.00'' Nord";"62160";;"BD  DE BEAUCERF PYLÔNE SNCF";"62200";"BOULOGNE-SUR-MER";"Pylône autostable"; 31.0;"SNCF Réseau"
49043;1.85694;50.94833;"01° 51' 25.00'' Est, 50° 56' 54.00'' Nord";"62193";;"R DU TEMPLE";"62100";"CALAIS";"Mât métallique"; 15.0;"Titulaire programme Radio/TV"
54395;2.88667;50.05722;"02° 53' 12.00'' Est, 50° 03' 26.00'' Nord";"62829";;"R DU CORNET";"62450";"LE TRANSLOY";"Pylône autostable"; 19.0;"ORANGE Services Fixes"
81788;2.19306;50.72139;"02° 11' 35.00'' Est, 50° 43' 17.00'' Nord";"62898";;"ANGLE RUES DE SETQUES ET D'HALLINES";"62219";"WISQUES";"Château d'eau - réservoir"; 33.0;"Commune, communauté de commune"
81972;2.48194;50.49861;"02° 28' 55.00'' Est, 50° 29' 55.00'' Nord";"62048";;"BD DE LA PAIX PRES TERRAINS DE SPORT";"62260";"AUCHEL";"Pylône tubulaire"; 25.0;"ATC FRANCE"
91659;1.84778;50.96694;"01° 50' 52.00'' Est, 50° 58' 01.00'' Nord";"62193";"CAPITAINERIE DU PORT";;"62100";"CALAIS";"Bâtiment"; 33.0;"CCI,Ch Metiers,Port Aut,Aérop"
