Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1635369;0.99806;49.34778;"00° 59' 53.00'' Est, 49° 20' 52.00'' Nord";"76319";;"55 RUE GEORGES BRAQUE  IMMEUBLE AUVERGNE";"76530";"GRAND-COURONNE";"Immeuble"; 24.0;"Société HLM"
1636053;1.03167;49.45861;"01° 01' 54.00'' Est, 49° 27' 31.00'' Nord";"76157";;"AVENUE GEORGES BIZET";"76380";"CANTELEU";"Château d'eau - réservoir"; 48.0;"Syndicat des eaux, Adduction"
1641934;0.82694;49.62194;"00° 49' 37.00'' Est, 49° 37' 19.00'' Nord";"76223";"LA GRAND ROUTE";"A 150";"76190";"ECALLES-ALIX";"Pylône autostable"; 10.0;"Sociétés d'Autoroutes"
1642765;0.86611;49.59611;"00° 51' 58.00'' Est, 49° 35' 46.00'' Nord";"76433";"LE BOSC HERISSON";"A150";"76570";"MESNIL-PANNEVILLE";"Pylône autostable"; 15.0;"Sociétés d'Autoroutes"
1644046;1.73000;49.78028;"01° 43' 48.00'' Est, 49° 46' 49.00'' Nord";"76606";"FERME DU BOIS DE LA VILLE";"RURAL D'HELCOURT A AUMALE - PRES DU TERRA";"76390";"MORIENNE";"Pylône autostable"; 37.0;"FPS TOWERS"
1644935;0.15028;49.47528;"00° 09' 01.00'' Est, 49° 28' 31.00'' Nord";"76351";;"ROUTE DU MOLE CENTRAL EXPLOITATION CONDUITE TR4";"76600";"LE HAVRE";"Bâtiment"; 17.0;"EDF ou GDF"
1644939;0.14611;49.47306;"00° 08' 46.00'' Est, 49° 28' 23.00'' Nord";"76351";;"ROUTE DU MOLE CENTRAL PROTECTION DE SITE";"76600";"LE HAVRE";"Bâtiment"; 7.0;"EDF ou GDF"
1644944;0.14500;49.47333;"00° 08' 42.00'' Est, 49° 28' 24.00'' Nord";"76351";;"ROUTE DU MOLE CENTRAL EXPLOITATION MANUTENTION";"76600";"LE HAVRE";"Bâtiment"; 10.0;"EDF ou GDF"
1644946;0.14667;49.47361;"00° 08' 48.00'' Est, 49° 28' 25.00'' Nord";"76351";;"ROUTE DU MOLE CENTRAL BATIMENT TECHNIQUE";"76600";"LE HAVRE";"Bâtiment"; 10.0;"EDF ou GDF"
1644960;0.14667;49.47167;"00° 08' 48.00'' Est, 49° 28' 18.00'' Nord";"76351";;"ROUTE DU MOLE CENTRAL GALERIE STATION DE POMPAGE";"76600";"LE HAVRE";"Mât béton"; 1.0;"EDF ou GDF"
1645440;1.71167;49.87083;"01° 42' 42.00'' Est, 49° 52' 15.00'' Nord";"76363";"LA BASSE BUCAILLE";"ROUTE D'AUMALE D 49";"76340";"HODENG-AU-BOSC";"Pylône tubulaire"; 32.0;"FPS TOWERS"
1648226;1.06389;49.91417;"01° 03' 50.00'' Est, 49° 54' 51.00'' Nord";"76217";;"RUE ALEXANDRE ANQUETIN-IMMEUBLE AUVERGNE";"76200";"DIEPPE";"Bâtiment"; 37.4;"Société HLM"
1648231;1.07917;49.91056;"01° 04' 45.00'' Est, 49° 54' 38.00'' Nord";"76217";;"CCAL BELVEDERE RUE DU SAINT LAURENT";"76200";"DIEPPE";"Pylône autostable"; 25.1;"BOUYGUES"
1651035;1.09556;49.40361;"01° 05' 44.00'' Est, 49° 24' 13.00'' Nord";"76681";;"RUE PAUL ELUARD";"76300";"SOTTEVILLE-LES-ROUEN";"Pylône tubulaire"; 41.0;"Commune, communauté de commune"
1664872;1.05972;49.92306;"01° 03' 35.00'' Est, 49° 55' 23.00'' Nord";"76217";;"ROUTE DE POURVILLE STADE";"76200";"DIEPPE";"Pylône tubulaire"; 25.0;"BOUYGUES"
1665528;0.17167;49.47500;"00° 10' 18.00'' Est, 49° 28' 30.00'' Nord";"76351";;"ECLUSE FRANCOIS 1ER";"76050";"LE HAVRE";"Bâtiment"; 6.0;"Société Privée SA"
1666971;1.29611;49.46722;"01° 17' 46.00'' Est, 49° 28' 02.00'' Nord";"76673";"BUTTE MARTAINVILLE";"CD 13";"76116";"SERVAVILLE-SALMONVILLE";"Château d'eau - réservoir"; 44.0;"Syndicat des eaux, Adduction"
1669255;1.63333;49.61944;"01° 38' 00.00'' Est, 49° 37' 10.00'' Nord";"76505";"LES MONTS DÉSERTS";"CHEMIN RURAL N°15 DIT R LANGLADE";"76440";"POMMEREUX";"Pylône autostable"; 33.0;"SFR"
1670018;1.59389;49.47361;"01° 35' 38.00'' Est, 49° 28' 25.00'' Nord";"76067";"LE MONT DE VERDUN";"RTE  FORESTIÈRE DU MONT RÉAL";"76220";"BEAUVOIR-EN-LYONS";"Pylône tubulaire"; 37.5;"SFR"
1670025;1.42222;49.62917;"01° 25' 20.00'' Est, 49° 37' 45.00'' Nord";"76678";"LES HAUTS CHAMPS";"VC N°4 PEAU DE LEU";"76440";"SOMMERY";"Château d'eau - réservoir"; 40.0;"Syndicat des eaux, Adduction"
1670206;1.62944;49.64500;"01° 37' 46.00'' Est, 49° 38' 42.00'' Nord";"76295";"LE BORD DES BOIS";"CHEM COMMUNAL DE LA FORMERIE";"76870";"GAILLEFONTAINE";"Château d'eau - réservoir"; 37.0;"Commune, communauté de commune"
1672386;1.06944;49.44000;"01° 04' 10.00'' Est, 49° 26' 24.00'' Nord";"76540";;"1  QUAI DE FRANCE";"76100";"ROUEN";"Pylône autostable"; 24.3;"SFR"
1672751;1.02861;49.48417;"01° 01' 43.00'' Est, 49° 29' 03.00'' Nord";"76410";;"RUE BERTHELOT";"76150";"MAROMME";"Pylône autostable"; 37.8;"TDF"
1682094;1.71583;49.84167;"01° 42' 57.00'' Est, 49° 50' 30.00'' Nord";"76739";"LA PIECE DU MILIEU";"TERRES DE RESSENOY PROCHE D 49";"76390";"VIEUX-ROUEN-SUR-BRESLE";"Pylône autostable"; 32.0;"SFR"
1682408;0.19278;49.51028;"00° 11' 34.00'' Est, 49° 30' 37.00'' Nord";"76341";;"RUE FRIEDRICH ENGELS";"76700";"HARFLEUR";"Pylône tubulaire"; 31.3;"Commune, communauté de commune"
1684782;0.78500;49.62361;"00° 47' 06.00'' Est, 49° 37' 25.00'' Nord";"76610";;"RUE DES LIÈVRES";"76190";"SAINTE-MARIE-DES-CHAMPS";"Pylône autostable"; 25.0;"ORANGE"
1686543;0.10194;49.48806;"00° 06' 07.00'' Est, 49° 29' 17.00'' Nord";"76351";;"43 RUE DE LA MAILLERAYE IMMEUBLE ALCÉANE";"76600";"LE HAVRE";"Immeuble"; 24.7;"Société HLM"
1690319;1.13972;49.41222;"01° 08' 23.00'' Est, 49° 24' 44.00'' Nord";"76429";;"RUE ROMAIN DOCQUET ROUTE DE PARIS";"76240";"LE MESNIL-ESNARD";"Immeuble"; 16.0;"Société HLM"
1692181;1.13139;49.40278;"01° 07' 53.00'' Est, 49° 24' 10.00'' Nord";"76005";;"6 RUE JULES VALLES IMMEUBLE EDELWEISS";"76920";"AMFREVILLE-LA-MI-VOIE";"Immeuble"; 20.0;"Société HLM"
1695190;1.06389;49.40556;"01° 03' 50.00'' Est, 49° 24' 20.00'' Nord";"76322";;"35 RUE DU DOCTEUR LAENNEC IMMEUBLE EDELWEISS";"76120";"LE GRAND-QUEVILLY";"Immeuble"; 47.3;"Société HLM"
1696815;0.80639;49.62806;"00° 48' 23.00'' Est, 49° 37' 41.00'' Nord";"76223";"LOUMARE";"CARREFOUR N15-A29";"76190";"ECALLES-ALIX";"Pylône autostable"; 55.5;"Sociétés d'Autoroutes"
1696909;0.36417;49.65222;"00° 21' 51.00'' Est, 49° 39' 08.00'' Nord";"76302";;"RUE JEAN PREVOST CAHN";"76110";"GODERVILLE";"Silo"; 36.0;"Coopérative Agricole, Vinicole"
1697983;0.59639;49.59639;"00° 35' 47.00'' Est, 49° 35' 47.00'' Nord";"76715";"AU ROND-POINT";"84 ROUTE DE FAUVILLE";"76210";"TROUVILLE";"Bâtiment"; 7.0;"Société Privée SA"
