Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
42907;2.23750;48.89056;"02° 14' 15.00'' Est, 48° 53' 26.00'' Nord";"92062";"LA DÉFENSE 7";"CCAL LES 4 TEMPS ESPLANADE DE LA PATINOIRE (ESPACE EXPANSION)";"92800";"PUTEAUX";"Immeuble"; 28.0;"Copropriété, Syndic, SCI"
42997;2.25222;48.82056;"02° 15' 08.00'' Est, 48° 49' 14.00'' Nord";"92040";;"ALLÉE SAINTE LUCIE CCAL LES 3 MOULINS";"92130";"ISSY-LES-MOULINEAUX";"Bâtiment"; 10.0;"Société Privée SA"
43263;2.30556;48.93972;"02° 18' 20.00'' Est, 48° 56' 23.00'' Nord";"92036";;"R MARCEL PAUL PYLÔNE SNCF";"92230";"GENNEVILLIERS";"Pylône autostable"; 30.0;"SFR"
47454;2.24944;48.87583;"02° 14' 58.00'' Est, 48° 52' 33.00'' Nord";"92051";;"9B  BD RICHARD WALLACE 6 BD JULIEN POTIN";"92200";"NEUILLY-SUR-SEINE";"Bâtiment"; 34.0;"Société Privée SA"
54947;2.25111;48.88833;"02° 15' 04.00'' Est, 48° 53' 18.00'' Nord";"92026";"PASSERELLE DE L'AIGLE";"BD  DE NEUILLY";"92400";"COURBEVOIE";"Ouvrage d'art (pont, viaduc)"; 8.0;"Etat, Ministère"
54949;2.25028;48.88750;"02° 15' 01.00'' Est, 48° 53' 15.00'' Nord";"92062";"TUNNEL AU PIED DE ATHENA";"LA DÉFENSE BD CIRCULAIRE PIERRE GAUDIN";"92800";"PUTEAUX";"Ouvrage d'art (pont, viaduc)"; 10.0;"Etat, Ministère"
88117;2.26972;48.91361;"02° 16' 11.00'' Est, 48° 54' 49.00'' Nord";"92009";;"38 R PAUL DEROULEDE";"92270";"BOIS-COLOMBES";"Immeuble"; 28.0;
107602;2.32528;48.92167;"02° 19' 31.00'' Est, 48° 55' 18.00'' Nord";"92036";;"6-14 AV. LOUIS ROCHE";"92230";"GENNEVILLIERS";"Bâtiment"; 37.0;"Société Privée SA"
107748;2.19056;48.82139;"02° 11' 26.00'' Est, 48° 49' 17.00'' Nord";"92077";;"27 R DU BLEVÉDÈRE DE LA RONCE";"92410";"VILLE-D'AVRAY";"Immeuble"; 28.0;"Copropriété, Syndic, SCI"
107832;2.24278;48.87889;"02° 14' 34.00'' Est, 48° 52' 44.00'' Nord";"92062";;"19 - 20 QUAI DE DION BOUTON";"92800";"PUTEAUX";"Immeuble"; 17.0;
136201;2.26778;48.92444;"02° 16' 04.00'' Est, 48° 55' 28.00'' Nord";"92025";;"45 R TILLY";"92700";"COLOMBES";"Immeuble"; 26.0;"Copropriété, Syndic, SCI"
146572;2.22250;48.83139;"02° 13' 21.00'' Est, 48° 49' 53.00'' Nord";"92064";;"R DE ST-CLOUD";"92210";"SAINT-CLOUD";"Pylône autostable"; 9.0;"Commune, communauté de commune"
147611;2.32444;48.77750;"02° 19' 28.00'' Est, 48° 46' 39.00'' Nord";"92014";;"R CHARPENTIER - STADE MUNICIPAL";"92340";"BOURG-LA-REINE";"Pylône autostable"; 29.0;"Commune, communauté de commune"
157653;2.21500;48.89694;"02° 12' 54.00'' Est, 48° 53' 49.00'' Nord";"92050";;"2-16 BD J G SOUFFLOT";"92000";"NANTERRE";"Bâtiment"; 30.0;"Etat, Ministère"
159101;2.31167;48.89694;"02° 18' 42.00'' Est, 48° 53' 49.00'' Nord";"92024";;"25 R ROUGET DE L ISLE";"92110";"CLICHY";"Support non décrit"; 10.0;
162964;2.25278;48.88889;"02° 15' 10.00'' Est, 48° 53' 20.00'' Nord";"92026";;"49 GALERIE DAMIERS DEFENSE 1";"92400";"COURBEVOIE";"Support non décrit"; 0.0;
163450;2.20722;48.89194;"02° 12' 26.00'' Est, 48° 53' 31.00'' Nord";"92050";;"88 RUE DU 8 MAI 1945 MAIRIE";"92000";"NANTERRE";"Bâtiment"; 41.0;"Commune, communauté de commune"
167644;2.25000;48.89167;"02° 15' 00.00'' Est, 48° 53' 30.00'' Nord";"92026";;"LES MIROIRS BAT A";"92400";"COURBEVOIE";"Support non décrit"; 3.0;
202652;2.29528;48.75361;"02° 17' 43.00'' Est, 48° 45' 13.00'' Nord";"92002";;"HOTEL DE VILLE";"92160";"ANTONY";"Bâtiment"; 20.0;"Commune, communauté de commune"
202704;2.24389;48.88889;"02° 14' 38.00'' Est, 48° 53' 20.00'' Nord";"92026";;"PARKING IRIS DEFENSE 2";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202706;2.25361;48.88806;"02° 15' 13.00'' Est, 48° 53' 17.00'' Nord";"92026";;"PARKING BOIELDIEU DEFENSE 8";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202708;2.25833;48.89167;"02° 15' 30.00'' Est, 48° 53' 30.00'' Nord";"92026";;"PARKING CTRE COMMERCIAL P A";"92400";"COURBEVOIE";"Support non décrit"; 3.0;
202710;2.25111;48.89333;"02° 15' 04.00'' Est, 48° 53' 36.00'' Nord";"92026";;"PARKING COUPOLE REGNAULT DEF 6";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202712;2.25194;48.89167;"02° 15' 07.00'' Est, 48° 53' 30.00'' Nord";"92026";;"PARKING CENTRAL DEFENSE 4";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202714;2.24639;48.89056;"02° 14' 47.00'' Est, 48° 53' 26.00'' Nord";"92026";;"PARKING REFETS DEFENSE 2";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202716;2.24389;48.88694;"02° 14' 38.00'' Est, 48° 53' 13.00'' Nord";"92026";;"PARKING MICHELET EST DEF 10";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202718;2.24750;48.88889;"02° 14' 51.00'' Est, 48° 53' 20.00'' Nord";"92026";;"PARKING MICHELET OUEST DEF 10";"92400";"COURBEVOIE";"Support non décrit"; 10.0;
202726;2.19417;48.88333;"02° 11' 39.00'' Est, 48° 52' 60.00'' Nord";"92050";;"130 R DES SUISSES";"92000";"NANTERRE";"Support non décrit"; 15.0;
202732;2.19889;48.87250;"02° 11' 56.00'' Est, 48° 52' 21.00'' Nord";"92063";;"67 R DES BONS RAISINS";"92500";"RUEIL-MALMAISON";"Support non décrit"; 20.0;
202744;2.25278;48.92222;"02° 15' 10.00'' Est, 48° 55' 20.00'' Nord";"92025";;"3 T PL DU GL LECLERC";"92700";"COLOMBES";"Support non décrit"; 30.0;
216634;2.29056;48.78694;"02° 17' 26.00'' Est, 48° 47' 13.00'' Nord";"92032";;"RST CTRE A LGV ATLANTIQUE PK 008.845";"92260";"FONTENAY-AUX-ROSES";"Mât"; 7.0;"SNCF Réseau"
216656;2.20667;48.85528;"02° 12' 24.00'' Est, 48° 51' 19.00'' Nord";"92064";;"RST LE VAL D'OR PK 012.730";"92210";"SAINT-CLOUD";"Mât"; 10.0;"SNCF Réseau"
243558;2.16833;48.88806;"02° 10' 06.00'' Est, 48° 53' 17.00'' Nord";"92063";;"21 AV EDOUARD BELIN NOVOTEL";"92500";"RUEIL-MALMAISON";"Bâtiment"; 38.0;"TDF"
253629;2.27167;48.90667;"02° 16' 18.00'' Est, 48° 54' 24.00'' Nord";"92026";;"RST ASNIERES PK 004.650 GR 2 & GR 3";"92400";"COURBEVOIE";"Mât"; 5.0;"SNCF Réseau"
254242;2.23778;48.89583;"02° 14' 16.00'' Est, 48° 53' 45.00'' Nord";"92026";;"7 ALLÉE DE L'ARCHE ZAC DANTON - TOUR CEDRE";"92400";"COURBEVOIE";"Immeuble"; 107.7;"Copropriété, Syndic, SCI"
294264;2.32111;48.79556;"02° 19' 16.00'' Est, 48° 47' 44.00'' Nord";"92007";;"168 AV ARISTIDE BRIAND SITE 30";"92220";"BAGNEUX";"Immeuble"; 41.0;
294266;2.26556;48.90694;"02° 15' 56.00'' Est, 48° 54' 25.00'' Nord";"92009";;"7 R FAIDHERBE SITE 36";"92270";"BOIS-COLOMBES";"Immeuble"; 37.0;
294438;2.21306;48.84278;"02° 12' 47.00'' Est, 48° 50' 34.00'' Nord";"92064";;"7 R GOUNOD SITE 1030";"92210";"SAINT-CLOUD";"Immeuble"; 24.0;
294446;2.27639;48.79472;"02° 16' 35.00'' Est, 48° 47' 41.00'' Nord";"92032";;"3 AV DE LA DIVISION LECLERC SITE 3004";"92260";"FONTENAY-AUX-ROSES";"Immeuble"; 30.0;
299103;2.21361;48.84278;"02° 12' 49.00'' Est, 48° 50' 34.00'' Nord";"92064";;"9 R DE GOUNOD";"92210";"SAINT-CLOUD";"Immeuble"; 23.5;"Copropriété, Syndic, SCI"
306909;2.22222;48.87083;"02° 13' 20.00'' Est, 48° 52' 15.00'' Nord";"92073";;"40 R WORTH";"92150";"SURESNES";"Immeuble"; 12.0;
310774;2.21444;48.89806;"02° 12' 52.00'' Est, 48° 53' 53.00'' Nord";"92050";;"2 BD JACQUES GERMAIN SOUFFLOT";"92000";"NANTERRE";"Bâtiment"; 4.0;
311192;2.26083;48.90306;"02° 15' 39.00'' Est, 48° 54' 11.00'' Nord";"92026";;"11 AV DUBONNET";"92400";"COURBEVOIE";"Bâtiment"; 4.0;"Particulier"
311194;2.19000;48.89611;"02° 11' 24.00'' Est, 48° 53' 46.00'' Nord";"92050";;"61 AV JULES QUENTIN";"92000";"NANTERRE";"Immeuble"; 30.0;"Particulier"
311196;2.21722;48.89083;"02° 13' 02.00'' Est, 48° 53' 27.00'' Nord";"92050";;"32 AV PABLO PICASSO";"92000";"NANTERRE";"Immeuble"; 30.0;"Particulier"
312042;2.23861;48.89889;"02° 14' 19.00'' Est, 48° 53' 56.00'' Nord";"92026";;"56 AV DE L'ARCHE";"92400";"COURBEVOIE";"Immeuble"; 40.0;"Copropriété, Syndic, SCI"
326192;2.25083;48.88778;"02° 15' 03.00'' Est, 48° 53' 16.00'' Nord";"92026";;"21 V DES BATISSEURS  ESPLANADE DE LA DÉFENSE  TUNNEL DE LA DÉFENSE L1";"92400";"COURBEVOIE";"Intérieur galerie"; 0.0;"RATP"
326958;2.30667;48.90278;"02° 18' 24.00'' Est, 48° 54' 10.00'' Nord";"92024";;"82 R MARTRE  MAIRIE DE CLICHY  L13";"92110";"CLICHY";"Intérieur galerie"; 1.0;
327256;2.14722;48.84250;"02° 08' 50.00'' Est, 48° 50' 33.00'' Nord";"92076";;"62 AV CLARISSE";"92420";"VAUCRESSON";"Immeuble"; 14.0;"Association"
328053;2.17528;48.87694;"02° 10' 31.00'' Est, 48° 52' 37.00'' Nord";"92063";;"AV DU BOIS PREAU";"92500";"RUEIL-MALMAISON";"Bâtiment"; 15.0;"Société Privée SA"
329767;2.30000;48.89361;"02° 17' 60.00'' Est, 48° 53' 37.00'' Nord";"92044";;"2 R PABLO NERUDA";"92300";"LEVALLOIS-PERRET";"Immeuble"; 58.0;"Société HLM"
343260;2.29528;48.82250;"02° 17' 43.00'' Est, 48° 49' 21.00'' Nord";"92075";;"66 R JEAN BLEUZEN";"92170";"VANVES";"Bâtiment"; 18.0;
349195;2.25694;48.83389;"02° 15' 25.00'' Est, 48° 50' 02.00'' Nord";"92012";;"7 R RENÉ CLAIR  COLAS";"92100";"BOULOGNE-BILLANCOURT";"Immeuble"; 33.0;"Copropriété, Syndic, SCI"
350371;2.25778;48.82250;"02° 15' 28.00'' Est, 48° 49' 21.00'' Nord";"92040";;"213 R JEAN JACQUES ROUSSEAU HÔTEL CAMPANILE";"92130";"ISSY-LES-MOULINEAUX";"Bâtiment"; 24.3;"Société Privée SA"
350373;2.25500;48.88028;"02° 15' 18.00'' Est, 48° 52' 49.00'' Nord";"92051";;"8 R DELABORDÈRE";"92200";"NEUILLY-SUR-SEINE";"Bâtiment"; 17.5;"Copropriété, Syndic, SCI"
353447;2.19528;48.87667;"02° 11' 43.00'' Est, 48° 52' 36.00'' Nord";"92063";;"34 R DIDEROT";"92500";"RUEIL-MALMAISON";"Bâtiment"; 9.4;"Copropriété, Syndic, SCI"
353449;2.29472;48.93083;"02° 17' 41.00'' Est, 48° 55' 51.00'' Nord";"92036";;"1 R JOSEPH LECLAINCHE";"92230";"GENNEVILLIERS";"Immeuble"; 17.9;"Copropriété, Syndic, SCI"
362342;2.27250;48.82694;"02° 16' 21.00'' Est, 48° 49' 37.00'' Nord";"92040";;"10, R HORACE-VERNET";"92130";"ISSY-LES-MOULINEAUX";"Immeuble"; 25.0;
366862;2.24306;48.81944;"02° 14' 35.00'' Est, 48° 49' 10.00'' Nord";"92040";;"4 R VAUGIRARD";"92130";"ISSY-LES-MOULINEAUX";"Immeuble"; 21.0;"Société HLM"
