Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
12112;-1.01722;47.36111;"01° 01' 02.00'' Ouest, 47° 21' 40.00'' Nord";"49276";;"R DE LA BELLIERE CENTRAL TÉLÉPHONIQUE";"49410";"SAINT-FLORENT-LE-VIEIL";"Pylône autostable"; 10.0;"ORANGE Services Fixes"
12138;-1.32028;47.31306;"01° 19' 13.00'' Ouest, 47° 18' 47.00'' Nord";"49360";;"RUE D'ANJOU CENTRAL TÉLÉPHONIQUE";"49270";"LA VARENNE";"Pylône tubulaire"; 13.0;"ORANGE Services Fixes"
12160;-0.11889;47.40389;"00° 07' 08.00'' Ouest, 47° 24' 14.00'' Nord";"49180";;"PK 24 A85";"49160";"LONGUE-JUMELLES";"Pylône tubulaire"; 18.0;"Sociétés d'Autoroutes"
12162;-0.06167;47.34222;"00° 03' 42.00'' Ouest, 47° 20' 32.00'' Nord";"49030";;"PK 32,6 A 85";"49160";"BLOU";"Support non décrit";;
22999;-0.53722;47.47056;"00° 32' 14.00'' Ouest, 47° 28' 14.00'' Nord";"49007";;"3 R DE LA RAME STUDIO MARKETING SCAN-TV10";"49100";"ANGERS";"Bâtiment"; 50.0;"Copropriété, Syndic, SCI"
32631;-0.34139;47.17917;"00° 20' 29.00'' Ouest, 47° 10' 45.00'' Nord";"49104";"LE CLOS DES BATES";;"49700";"CONCOURSON-SUR-LAYON";"Pylône autostable"; 45.0;"SFR"
32633;-1.11250;47.11417;"01° 06' 45.00'' Ouest, 47° 06' 51.00'' Nord";"49285";"LA BÛCHERIE";;"49230";"SAINT-GERMAIN-SUR-MOINE";"Pylône autostable"; 48.0;"SFR"
32637;-1.02111;47.18139;"01° 01' 16.00'' Ouest, 47° 10' 53.00'' Nord";"49072";;"R DES VRENNES CHÂTEAU D'EAU LA VIGNARDIÈRE";"49600";"LA CHAPELLE-DU-GENET";"Château d'eau - réservoir"; 45.0;"Commune, communauté de commune"
32735;-0.09750;47.48667;"00° 05' 51.00'' Ouest, 47° 29' 12.00'' Nord";"49116";;"LE BOIS MORIN";"49150";"CUON";"Pylône autostable"; 35.0;"SFR"
32749;-0.07417;47.36528;"00° 04' 27.00'' Ouest, 47° 21' 55.00'' Nord";"49030";;"LES RAVAUX";"49160";"BLOU";"Pylône autostable"; 35.0;"SFR"
32755;-1.01250;47.20389;"01° 00' 45.00'' Ouest, 47° 12' 14.00'' Nord";"49023";"LES HAUTES ROCHES";;"49600";"BEAUPREAU";"Pylône autostable"; 40.0;"SFR"
64542;-0.90333;47.00583;"00° 54' 12.00'' Ouest, 47° 00' 21.00'' Nord";"49099";"P.S. LE PUY-ST-BONNET";;"49300";"CHOLET";"Pylône autostable"; 40.0;"Sociétés d'Autoroutes"
64546;-0.54083;47.39778;"00° 32' 27.00'' Ouest, 47° 23' 52.00'' Nord";"49223";"CHÂTEAU D'EAU";;"49610";"MURS-ERIGNE";"Pylône autostable"; 30.0;
