Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
20018;45905;"ORANGE service fixe";"Antenne parabolique";241055;1.80;"Directif";262.30;12.00;"FH";12.80;13.20;"GHz"
20030;74969;"METEO";"Antenne radar";390090;3.70;"Non Directif";;14.00;"RDR MTO";5570.00;5650.00;"MHz"
20032;208555;"TOWERCAST";"Antenne parabolique";5564;0.60;"Directif";56.00;16.00;"FH";8400.00;8500.00;"MHz"
55785;191236;"TDF";"Logarithmique/Log périodique";80686;2.00;"Directif";250.00;30.00;"FM";87.50;108.00;"MHz"
62501;53825;"Site privé";"Dipôle large bande";88847;2.00;"Directif";70.00;20.00;"FM";87.50;108.00;"MHz"
62505;72569;"Site privé";"Dipôle/Doublet";88849;2.00;"Directif";250.00;15.00;"FM";87.50;108.00;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"LTE 700";708.00;718.00;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"LTE 700";763.00;773.00;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"LTE 800";811.00;821.00;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"LTE 800";852.00;862.00;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"UMTS 900";889.90;899.90;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"GSM 900";889.90;899.90;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"UMTS 900";934.90;944.90;"MHz"
106496;69215;"ORANGE";"Panneau";191657;2.80;"Directif";15.00;26.00;"GSM 900";934.90;944.90;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"LTE 700";708.00;718.00;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"LTE 700";763.00;773.00;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"LTE 800";811.00;821.00;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"LTE 800";852.00;862.00;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"UMTS 900";889.90;899.90;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"GSM 900";889.90;899.90;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"GSM 900";934.90;944.90;"MHz"
106496;69215;"ORANGE";"Panneau";191658;2.80;"Directif";190.00;26.00;"UMTS 900";934.90;944.90;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"LTE 800";811.00;821.00;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"LTE 800";852.00;862.00;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"GSM 900";889.90;899.90;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"UMTS 900";889.90;899.90;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"GSM 900";934.90;944.90;"MHz"
106508;72642;"ORANGE";"Panneau";191669;2.60;"Directif";270.00;43.80;"UMTS 900";934.90;944.90;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"LTE 800";811.00;821.00;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"LTE 800";852.00;862.00;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"GSM 900";889.90;899.90;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"UMTS 900";889.90;899.90;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"GSM 900";934.90;944.90;"MHz"
106508;72642;"ORANGE";"Panneau";191670;2.60;"Directif";120.00;43.80;"UMTS 900";934.90;944.90;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"LTE 800";811.00;821.00;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"LTE 800";852.00;862.00;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"UMTS 900";889.90;899.90;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"GSM 900";889.90;899.90;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"UMTS 900";934.90;944.90;"MHz"
106548;89065;"ORANGE";"Panneau";191758;1.90;"Directif";340.00;28.50;"GSM 900";934.90;944.90;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"LTE 800";811.00;821.00;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"LTE 800";852.00;862.00;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"UMTS 900";889.90;899.90;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"GSM 900";889.90;899.90;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"UMTS 900";934.90;944.90;"MHz"
106548;89065;"ORANGE";"Panneau";191759;1.90;"Directif";170.00;28.50;"GSM 900";934.90;944.90;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"LTE 700";708.00;718.00;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"LTE 700";763.00;773.00;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"LTE 800";811.00;821.00;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"LTE 800";852.00;862.00;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"UMTS 900";889.90;899.90;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"GSM 900";889.90;899.90;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"UMTS 900";934.90;944.90;"MHz"
106584;211345;"ORANGE";"Panneau";191834;2.70;"Directif";85.00;29.30;"GSM 900";934.90;944.90;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"LTE 700";708.00;718.00;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"LTE 700";763.00;773.00;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"LTE 800";811.00;821.00;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"LTE 800";852.00;862.00;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"GSM 900";889.90;899.90;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"UMTS 900";889.90;899.90;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"UMTS 900";934.90;944.90;"MHz"
106584;211345;"ORANGE";"Panneau";191835;2.70;"Directif";250.00;29.30;"GSM 900";934.90;944.90;"MHz"
106584;211345;"ORANGE";"Panneau";191836;2.70;"Directif";350.00;29.30;"LTE 700";708.00;718.00;"MHz"
106584;211345;"ORANGE";"Panneau";191836;2.70;"Directif";350.00;29.30;"LTE 700";763.00;773.00;"MHz"
106584;211345;"ORANGE";"Panneau";191836;2.70;"Directif";350.00;29.30;"LTE 800";811.00;821.00;"MHz"
106584;211345;"ORANGE";"Panneau";191836;2.70;"Directif";350.00;29.30;"LTE 800";852.00;862.00;"MHz"
