Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
3630;6.62611;44.24667;"06° 37' 34.00'' Est, 44° 14' 48.00'' Nord";"04006";;"ALLOS - PONTS ET CHAUSSEES";"04260";"ALLOS";"Support non décrit";;
3638;6.60194;44.16556;"06° 36' 07.00'' Est, 44° 09' 56.00'' Nord";"04240";;"RTE DU PUY";"04370";"VILLARS-COLMARS";"Pylône autostable"; 17.0;"ORANGE Services Fixes"
3640;6.62917;44.24111;"06° 37' 45.00'' Est, 44° 14' 28.00'' Nord";"04006";;"7319, R DE LA SALLE DES FÊTES AUTOCOMMUTATEUR";"04260";"ALLOS";"Pylône autostable"; 23.0;"ORANGE Services Fixes"
3652;5.78611;43.83194;"05° 47' 10.00'' Est, 43° 49' 55.00'' Nord";"04112";;"2 R DE L'EDEN AUTOCOMMUTATEUR";"04100";"MANOSQUE";"Bâtiment"; 24.0;
3654;6.09194;43.81139;"06° 05' 31.00'' Est, 43° 48' 41.00'' Nord";"04166";"PLAINE DE BARBARO";;"04500";"RIEZ";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
3656;5.78000;43.95944;"05° 46' 48.00'' Est, 43° 57' 34.00'' Nord";"04088";;"PL DU BOURGUET AUTOCOMMUTATEUR";"04300";"FORCALQUIER";"Pylône autostable"; 17.0;"ORANGE Services Fixes"
23522;6.08250;43.82028;"06° 04' 57.00'' Est, 43° 49' 13.00'' Nord";"04166";;"CHEM DU RELAIS MADAME BOUCHET (VEUVE BABY)";"04500";"RIEZ";"Pylône autostable"; 24.0;"SFR"
23526;6.28861;44.00250;"06° 17' 19.00'' Est, 44° 00' 09.00'' Nord";"04055";"CHABRIÈRES";"M. ET MME SACCO LE COUINIER";"04330";"CHAUDON-NORANTE";"Pylône autostable"; 13.0;
23576;6.12083;44.46306;"06° 07' 15.00'' Est, 44° 27' 47.00'' Nord";"04150";"LE PLANUIL";;"05130";"PIEGUT";"Pylône autostable"; 12.0;"SFR"
45238;5.56611;43.97722;"05° 33' 58.00'' Est, 43° 58' 38.00'' Nord";"04208";;"CHEM DÉPARTEMENTAL N°18 AUTOCOMMUTATEUR";"04150";"SIMIANE-LA-ROTONDE";"Pylône autostable"; 11.0;"ORANGE Services Fixes"
45242;5.76806;44.04972;"05° 46' 05.00'' Est, 44° 02' 59.00'' Nord";"04178";"RAVOUEST";"CHEM VICINAL DU RAVOUEST";"04230";"SAINT-ETIENNE-LES-ORGUES";"Mât"; 10.0;"ORANGE Services Fixes"
45244;5.71694;43.90889;"05° 43' 01.00'' Est, 43° 54' 32.00'' Nord";"04192";;"LE VILLAGE AUTOCOMMUTATEUR";"04870";"SAINT-MICHEL-L'OBSERVATOIRE";"Pylône tubulaire"; 12.0;"ORANGE Services Fixes"
47768;5.97111;43.74583;"05° 58' 16.00'' Est, 43° 44' 45.00'' Nord";"04081";;"CHEMIN DES PLÈCHES D 82 AUTOCOMMUTATEUR";"04800";"ESPARRON-DE-VERDON";"Mât"; 5.0;"ORANGE Services Fixes"
48056;6.02806;43.72222;"06° 01' 41.00'' Est, 43° 43' 20.00'' Nord";"04158";"LA VUDELE";"CHATEAU D'EAU";"04500";"QUINSON";"Château d'eau - réservoir"; 16.0;"Syndicat des eaux, Adduction"
51664;6.35389;44.35111;"06° 21' 14.00'' Est, 44° 21' 04.00'' Nord";"04205";"QUARTIER DU SERRE";"LE VILLAGE CIMÉTIÈRE";"04140";"SEYNE";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
52017;5.91833;43.91583;"05° 55' 06.00'' Est, 43° 54' 57.00'' Nord";"04143";;"PLACE DU KIOSQUE LA POSTE";"04700";"ORAISON";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
52019;5.94500;43.90694;"05° 56' 42.00'' Est, 43° 54' 25.00'' Nord";"04143";"FOND DES OISEAUX";"TARRONE";"04700";"ORAISON";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
52071;6.89056;43.91556;"06° 53' 26.00'' Est, 43° 54' 56.00'' Nord";"04170";"VILLAGE";;"06260";"LA ROCHETTE";"Mât"; 8.0;
52073;6.33417;44.39722;"06° 20' 03.00'' Est, 44° 23' 50.00'' Nord";"04126";"LES GUILLEMS";"RD N°307 AUTOCOMMUTATEUR";"04140";"MONTCLAR";"Pylône tubulaire"; 12.0;"ORANGE Services Fixes"
52077;6.38194;43.73944;"06° 22' 55.00'' Est, 43° 44' 22.00'' Nord";"04171";"LA MESCLA";"D 71";"04120";"ROUGON";"Mât"; 10.0;"ORANGE Services Fixes"
52253;6.38611;44.06917;"06° 23' 10.00'' Est, 44° 04' 09.00'' Nord";"04214";"PLAN DE CHAUDE";;"04330";"TARTONNE";"Mât"; 8.0;
52415;6.21694;44.16861;"06° 13' 01.00'' Est, 44° 10' 07.00'' Nord";"04167";"AUTOCOMMUTATEUR";;"04000";"LA ROBINE-SUR-GALABRE";"Mât"; 12.0;"ORANGE Services Fixes"
52417;6.19444;44.16889;"06° 11' 40.00'' Est, 44° 10' 08.00'' Nord";"04167";"LES APPRENIERS";;"04000";"LA ROBINE-SUR-GALABRE";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
52421;6.64056;44.40361;"06° 38' 26.00'' Est, 44° 24' 13.00'' Nord";"04195";"LA VALLETTE";;"04400";"SAINT-PONS";"Mât"; 6.0;"ORANGE Services Fixes"
52427;6.65389;44.38778;"06° 39' 14.00'' Est, 44° 23' 16.00'' Nord";"04019";;"PLACE PAUL REYNAUD LA POSTE";"04400";"BARCELONNETTE";"Bâtiment"; 12.0;"La Poste"
52434;6.72417;44.31889;"06° 43' 27.00'' Est, 44° 19' 08.00'' Nord";"04226";"LES LONGS";;"04400";"UVERNET-FOURS";"Pylône tubulaire"; 12.0;"ORANGE Services Fixes"
52439;5.63667;43.93111;"05° 38' 12.00'' Est, 43° 55' 52.00'' Nord";"04227";"LA GRANGE";"D 114";"04110";"VACHERES";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
52477;6.51528;43.84611;"06° 30' 55.00'' Est, 43° 50' 46.00'' Nord";"04039";;"LA BOUDOUSQUE-ANCIENNE RTE DE NICE AUTOCOMMUTATEUR";"04120";"CASTELLANE";"Mât"; 7.0;"ORANGE Services Fixes"
52541;5.71528;43.92972;"05° 42' 55.00'' Est, 43° 55' 47.00'' Nord";"04192";;"OBSERVATOIRE DE HAUTE PROVENCE";"04870";"SAINT-MICHEL-L'OBSERVATOIRE";"Bâtiment"; 8.0;
