Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
33279;68094;"SFR";"Panneau";23307;2.50;"Directif";115.00;27.00;"GSM 900";902.50;914.90;"MHz"
33279;68094;"SFR";"Panneau";23307;2.50;"Directif";115.00;27.00;"GSM 900";947.50;959.90;"MHz"
33279;68094;"SFR";"Panneau";23308;2.50;"Directif";240.00;27.00;"GSM 900";902.50;914.90;"MHz"
33279;68094;"SFR";"Panneau";23308;2.50;"Directif";240.00;27.00;"GSM 900";947.50;959.90;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"GSM 900";902.50;914.90;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"GSM 900";947.50;959.90;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"UMTS 2100";1915.10;1920.10;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"UMTS 2100";1920.50;1935.30;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"UMTS 2100";1959.90;1964.90;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"UMTS 2100";2110.50;2125.30;"MHz"
33293;70330;"SFR";"Panneau";23333;2.50;"Directif";80.00;37.00;"UMTS 2100";2149.90;2154.90;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"GSM 900";902.50;914.90;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"GSM 900";947.50;959.90;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"UMTS 2100";1915.10;1920.10;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"UMTS 2100";1920.50;1935.30;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"UMTS 2100";1959.90;1964.90;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"UMTS 2100";2110.50;2125.30;"MHz"
33293;70330;"SFR";"Panneau";192460;2.50;"Directif";150.00;37.00;"UMTS 2100";2149.90;2154.90;"MHz"
33293;70330;"SFR";"Antenne parabolique";449389;0.30;"Directif";255.60;40.00;"FH";22.21;22.37;"GHz"
33293;70330;"SFR";"Antenne parabolique";1375365;0.30;"Directif";148.40;36.00;"FH";22.21;22.37;"GHz"
33293;70330;"SFR";"Antenne parabolique";1610763;0.60;"Directif";138.20;35.60;"FH";18.40;18.60;"GHz"
33293;70330;"SFR";"Antenne parabolique";2680766;0.60;"Directif";281.90;35.00;"FH";12.75;13.25;"GHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"GSM 900";902.50;914.90;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"GSM 900";947.50;959.90;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"UMTS 2100";1915.10;1920.10;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"UMTS 2100";1920.50;1935.30;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"UMTS 2100";1959.90;1964.90;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"UMTS 2100";2110.50;2125.30;"MHz"
33293;70330;"SFR";"Panneau";2680768;2.50;"Directif";250.00;37.00;"UMTS 2100";2149.90;2154.90;"MHz"
