Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
8752;3.60139;43.98861;"03° 36' 05.00'' Est, 43° 59' 19.00'' Nord";"30350";;"BD DES CÉVENNES CENTRAL TÉLÉPHONIQUE";"30120";"LE VIGAN";"Pylône autostable"; 25.0;"ORANGE Services Fixes"
8754;3.70000;44.00722;"03° 42' 00.00'' Est, 44° 00' 26.00'' Nord";"30325";"LE CASTANET";;"30440";"SUMENE";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
8756;3.54333;44.09000;"03° 32' 36.00'' Est, 44° 05' 24.00'' Nord";"30105";"L'ESPEROU";;"30750";"DOURBIES";"Pylône autostable"; 6.0;"ORANGE Services Fixes"
8766;4.62889;44.16056;"04° 37' 44.00'' Est, 44° 09' 38.00'' Nord";"30028";"LÉON FONTAINE";;"30200";"BAGNOLS-SUR-CEZE";"Pylône autostable"; 25.0;"ORANGE Services Fixes"
8772;3.95083;44.34667;"03° 57' 03.00'' Est, 44° 20' 48.00'' Nord";"30130";;"AV GASTON DEFFERE AUTOCOMMUTATEUR";"30450";"GENOLHAC";"Pylône autostable"; 20.0;"ORANGE Services Fixes"
8774;3.75667;44.13472;"03° 45' 24.00'' Est, 44° 08' 05.00'' Nord";"30310";"CAPOU ET LA CARRIERE";;"30125";"SAUMANE";"Pylône autostable"; 18.0;"ORANGE Services Fixes"
8776;4.36722;44.15111;"04° 22' 02.00'' Est, 44° 09' 04.00'' Nord";"30151";"SOUS LE BARRY";"CHEM DÉPARTEMENTAL N°259";"30580";"LUSSAN";"Pylône autostable"; 8.0;"ORANGE Services Fixes"
8778;4.45833;44.10333;"04° 27' 30.00'' Est, 44° 06' 12.00'' Nord";"30279";"LES JARDINS";;"30330";"SAINT-LAURENT-LA-VERNEDE";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
8782;3.65083;44.07778;"03° 39' 03.00'' Est, 44° 04' 40.00'' Nord";"30339";"LA BESSEDE";;"30570";"VALLERAUGUE";"Pylône autostable"; 6.0;"ORANGE Services Fixes"
8796;4.14833;43.94056;"04° 08' 54.00'' Est, 43° 56' 26.00'' Nord";"30354";"MAYARGUES";"D.907 - CHÂTEAU D'EAU";"30350";"MONTAGNAC";"Pylône autostable"; 29.0;"ORANGE Services Fixes"
8802;3.84889;44.03639;"03° 50' 56.00'' Est, 44° 02' 11.00'' Nord";"30140";"MONTREDON";;"30460";"LASALLE";"Pylône autostable"; 27.0;"ORANGE Services Fixes"
8804;3.86222;44.03972;"03° 51' 44.00'' Est, 44° 02' 23.00'' Nord";"30140";;"RTE DE ST HYPOLITE DU FORT LA BARAQUE";"30460";"LASALLE";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
