Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
7209;7051;"ORANGE service fixe";"Antenne parabolique";227134;1.20;"Directif";142.90;26.00;"FH";6425.00;6700.00;"MHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";227134;1.20;"Directif";142.90;26.00;"FH";6700.00;7075.00;"MHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";227146;0.60;"Directif";51.40;26.00;"FH";12.80;13.20;"GHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";1158493;1.20;"Directif";51.40;23.00;"FH";6425.00;6700.00;"MHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";1158493;1.20;"Directif";51.40;23.00;"FH";6700.00;7075.00;"MHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";5243236;0.60;"Directif";139.30;25.00;"FH";22.40;22.50;"GHz"
7209;7051;"ORANGE service fixe";"Antenne parabolique";5243236;0.60;"Directif";139.30;25.00;"FH";23.40;23.50;"GHz"
7219;7988;"ORANGE service fixe";"Antenne parabolique";66310;1.20;"Directif";196.30;18.00;"FH";6425.00;6700.00;"MHz"
7219;7988;"ORANGE service fixe";"Antenne parabolique";66310;1.20;"Directif";196.30;18.00;"FH";6425.00;6700.00;"MHz"
7219;7988;"ORANGE service fixe";"Antenne parabolique";66310;1.20;"Directif";196.30;18.00;"FH";6700.00;7075.00;"MHz"
7219;7988;"ORANGE service fixe";"Antenne parabolique";66310;1.20;"Directif";196.30;18.00;"FH";6700.00;7075.00;"MHz"
7231;10476;"ORANGE service fixe";"Antenne parabolique";161654;0.60;"Directif";216.70;14.00;"FH";12.80;13.20;"GHz"
7245;12999;"ORANGE service fixe";"Antenne parabolique";161686;0.80;"Directif";106.30;25.00;"FH";12.80;13.20;"GHz"
7245;12999;"ORANGE service fixe";"Antenne parabolique";3677433;0.80;"Directif";294.30;25.00;"FH";22.40;22.50;"GHz"
7245;12999;"ORANGE service fixe";"Antenne parabolique";3677433;0.80;"Directif";294.30;25.00;"FH";23.40;23.50;"GHz"
7255;51617;"ORANGE service fixe";"Antenne parabolique";857507;0.60;"Directif";70.30;18.00;"FH";22.40;22.50;"GHz"
7255;51617;"ORANGE service fixe";"Antenne parabolique";857507;0.60;"Directif";70.30;18.00;"FH";23.40;23.50;"GHz"
7257;51618;"ORANGE service fixe";"Antenne parabolique";857527;0.60;"Directif";135.20;35.00;"FH";22.40;22.50;"GHz"
7257;51618;"ORANGE service fixe";"Antenne parabolique";857527;0.60;"Directif";135.20;35.00;"FH";23.40;23.50;"GHz"
56782;307135;"ORANGE service fixe";"Antenne parabolique";82392;0.90;"Directif";358.00;8.00;"FH";17.70;18.10;"GHz"
56782;307135;"ORANGE service fixe";"Antenne parabolique";82392;0.90;"Directif";358.00;8.00;"FH";18.60;18.80;"GHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"LTE 800";811.00;821.00;"MHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"LTE 800";852.00;862.00;"MHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"GSM 900";889.90;899.90;"MHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"UMTS 900";889.90;899.90;"MHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"UMTS 900";934.90;944.90;"MHz"
89842;77825;"ORANGE";"Panneau";162754;2.70;"Directif";50.00;29.30;"GSM 900";934.90;944.90;"MHz"
