Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
15648;11627;"ORANGE service fixe";"Antenne parabolique";68345;0.60;"Directif";115.80;31.00;"FH";8025.00;8175.00;"MHz"
15648;11627;"ORANGE service fixe";"Antenne parabolique";68345;0.60;"Directif";115.80;31.00;"FH";8215.00;8400.00;"MHz"
15648;11627;"ORANGE service fixe";"Antenne parabolique";4196566;0.60;"Directif";32.70;30.00;"FH";10.70;11.70;"GHz"
15654;12341;"ORANGE service fixe";"Antenne parabolique";800224;1.20;"Directif";13.00;31.00;"FH";6425.00;6700.00;"MHz"
15654;12341;"ORANGE service fixe";"Antenne parabolique";800224;1.20;"Directif";13.00;31.00;"FH";6700.00;7075.00;"MHz"
15654;12341;"ORANGE service fixe";"Antenne parabolique";2556310;0.60;"Directif";189.60;28.00;"FH";10.70;11.70;"GHz"
15654;12341;"ORANGE service fixe";"Antenne parabolique";3880735;0.60;"Directif";260.00;31.00;"FH";17.70;18.10;"GHz"
15654;12341;"ORANGE service fixe";"Antenne parabolique";3880735;0.60;"Directif";260.00;31.00;"FH";18.60;18.80;"GHz"
15662;14343;"ORANGE service fixe";"Antenne parabolique";267661;0.60;"Directif";91.70;12.00;"FH";12.80;13.20;"GHz"
15664;17126;"ORANGE service fixe";"Antenne parabolique";267663;2.40;"Directif";152.00;35.00;"FH";12.80;13.20;"GHz"
15664;17126;"ORANGE service fixe";"Antenne parabolique";267665;2.40;"Directif";343.00;35.00;"FH";12.80;13.20;"GHz"
15666;17127;"ORANGE service fixe";"Antenne parabolique";267676;2.40;"Directif";163.00;12.00;"FH";12.80;13.20;"GHz"
15668;18572;"ORANGE service fixe";"Antenne parabolique";4448900;0.30;"Directif";301.20;7.00;"FH";37.50;38.00;"GHz"
15668;18572;"ORANGE service fixe";"Antenne parabolique";4448900;0.30;"Directif";301.20;7.00;"FH";38.50;39.50;"GHz"
15670;18570;"ORANGE service fixe";"Antenne parabolique";267708;1.20;"Directif";213.00;15.00;"FH";6425.00;6700.00;"MHz"
15670;18570;"ORANGE service fixe";"Antenne parabolique";267708;1.20;"Directif";213.00;15.00;"FH";6700.00;7075.00;"MHz"
15676;21345;"ORANGE service fixe";"Plan passif ou miroir";267720;4.00;"Directif";123.00;10.00;"FH";8025.00;8175.00;"MHz"
15676;21345;"ORANGE service fixe";"Plan passif ou miroir";267720;4.00;"Directif";123.00;10.00;"FH";8215.00;8400.00;"MHz"
15676;21345;"ORANGE service fixe";"Plan passif ou miroir";267722;4.00;"Directif";91.00;10.00;"FH";8025.00;8175.00;"MHz"
