Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
829472;8.87778;42.54250;"08° 52' 40.00'' Est, 42° 32' 33.00'' Nord";"2B167";"SANTA CROCCE";;"20214";"MONTEGROSSO";"Bâtiment"; 5.0;"ORANGE Services Fixes"
830859;8.63111;42.37361;"08° 37' 52.00'' Est, 42° 22' 25.00'' Nord";"2B121";;"PUNTA DI LITERNICCIA";"20245";"GALERIA";"Mât"; 7.0;"Société Privée SA"
848001;9.48111;42.54722;"09° 28' 52.00'' Est, 42° 32' 50.00'' Nord";"2B148";;"AEROPORT BASTIA PORETTA AEROPORT BASTIA PORETTA";"20290";"LUCCIANA";"Bâtiment"; 10.0;"Aviation Civile"
848725;9.14444;42.31250;"09° 08' 40.00'' Est, 42° 18' 45.00'' Nord";"2B096";"ST PANCRACE PETRERA";"TERRAIN ORI";"20250";"CORTE";"Pylône tubulaire"; 12.0;"SFR"
848830;8.88333;42.28556;"08° 52' 60.00'' Est, 42° 17' 08.00'' Nord";"2B007";"CAPU DI VERGIO";"VERGHIU SUPRANU";"20224";"ALBERTACCE";"Pylône autostable"; 15.0;"Société Privée SA"
848930;9.45111;42.70583;"09° 27' 04.00'' Est, 42° 42' 21.00'' Nord";"2B033";;"R HENRI TOMASI MAISON COMTE";"20200";"BASTIA";"Immeuble"; 11.0;"Copropriété, Syndic, SCI"
850238;9.46500;42.55528;"09° 27' 54.00'' Est, 42° 33' 19.00'' Nord";"2B042";"PERRONE";"SITE ITAS TIM";"20290";"BORGO";"Pylône autostable"; 24.0;"Itas Tim"
852199;9.41417;42.27972;"09° 24' 51.00'' Est, 42° 16' 47.00'' Nord";"2B161";;"CHIOSO AL CAPO SANTO";"20270";"MOITA";"Bâtiment"; 8.0;"ORANGE Services Fixes"
852640;9.42944;42.28389;"09° 25' 46.00'' Est, 42° 17' 02.00'' Nord";"2B225";"COL DE SAN GAVINO";"D.117 STATION TDF DE PIETRA DI VERDE";"20230";"PIETRA-DI-VERDE";"Pylône autostable"; 20.0;"TDF"
855520;8.75806;42.56778;"08° 45' 29.00'' Est, 42° 34' 04.00'' Nord";"2B050";;"PL BEL'OMBRA HOTEL CHRISTOPHE COLOMB";"20260";"CALVI";"Immeuble"; 21.0;"Copropriété, Syndic, SCI"
