Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
4496;19447;"ORANGE service fixe";"Antenne parabolique";103607;2.00;"Directif";308.40;7.00;"FH";15.25;15.35;"GHz"
4498;19448;"ORANGE service fixe";"Plan passif ou miroir";103613;1.00;"Directif";215.20;32.00;"FH";15.25;15.35;"GHz"
4498;19448;"ORANGE service fixe";"Plan passif ou miroir";103615;1.00;"Directif";128.20;32.00;"FH";15.25;15.35;"GHz"
4506;23573;"ORANGE service fixe";"Antenne parabolique";103711;2.00;"Directif";144.30;10.00;"FH";14.30;14.40;"GHz"
4506;23573;"ORANGE service fixe";"Antenne parabolique";103711;2.00;"Directif";144.30;10.00;"FH";14.47;14.50;"GHz"
4508;25159;"ORANGE service fixe";"Antenne parabolique";103732;2.00;"Directif";232.20;34.00;"FH";14.25;14.50;"GHz"
4508;25159;"ORANGE service fixe";"Antenne parabolique";103734;2.00;"Directif";5.90;34.00;"FH";14.25;14.50;"GHz"
4510;25160;"ORANGE service fixe";"Antenne parabolique";103752;1.10;"Directif";52.20;16.00;"FH";14.25;14.50;"GHz"
4514;47073;"ORANGE service fixe";"Antenne parabolique";103786;0.60;"Directif";324.60;36.00;"FH";12.75;13.25;"GHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";947204;0.60;"Directif";243.00;10.00;"FH";8025.00;8175.00;"MHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";947204;0.60;"Directif";243.00;10.00;"FH";8215.00;8400.00;"MHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";2872816;0.60;"Directif";243.00;10.00;"FH";17.70;18.10;"GHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";2872816;0.60;"Directif";243.00;10.00;"FH";17.70;18.10;"GHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";2872816;0.60;"Directif";243.00;10.00;"FH";18.60;18.80;"GHz"
4516;48636;"ORANGE service fixe";"Antenne parabolique";2872816;0.60;"Directif";243.00;10.00;"FH";18.60;18.80;"GHz"
24597;62512;"SFR";"Panneau";8846;2.50;"Directif";220.00;47.50;"GSM 900";902.50;914.90;"MHz"
24597;62512;"SFR";"Panneau";8846;2.50;"Directif";220.00;47.50;"GSM 900";947.50;959.90;"MHz"
24597;62512;"SFR";"Panneau";8846;2.50;"Directif";220.00;47.50;"UMTS 2100";1915.10;1920.10;"MHz"
24597;62512;"SFR";"Panneau";8846;2.50;"Directif";220.00;47.50;"UMTS 2100";1920.50;1935.30;"MHz"
24597;62512;"SFR";"Panneau";8846;2.50;"Directif";220.00;47.50;"UMTS 2100";2110.50;2125.30;"MHz"
24597;62512;"SFR";"Panneau";8847;2.50;"Directif";340.00;47.50;"GSM 900";902.50;914.90;"MHz"
24597;62512;"SFR";"Panneau";8847;2.50;"Directif";340.00;47.50;"GSM 900";947.50;959.90;"MHz"
24597;62512;"SFR";"Panneau";8847;2.50;"Directif";340.00;47.50;"UMTS 2100";1915.10;1920.10;"MHz"
24597;62512;"SFR";"Panneau";8847;2.50;"Directif";340.00;47.50;"UMTS 2100";1920.50;1935.30;"MHz"
24597;62512;"SFR";"Panneau";8847;2.50;"Directif";340.00;47.50;"UMTS 2100";2110.50;2125.30;"MHz"
24597;62512;"SFR";"Antenne parabolique";48905;0.60;"Directif";61.20;36.00;"FH";19.30;19.70;"GHz"
24597;62512;"SFR";"Antenne parabolique";48907;1.00;"Directif";144.50;37.00;"FH";12.75;13.25;"GHz"
24597;62512;"SFR";"Antenne parabolique";48909;0.30;"Directif";264.10;37.00;"FH";23.13;23.38;"GHz"
24597;62512;"SFR";"Antenne parabolique";208556;0.30;"Directif";87.50;37.00;"FH";23.13;23.38;"GHz"
24597;62512;"SFR";"Antenne parabolique";408503;0.60;"Directif";55.80;37.00;"FH";23.13;23.38;"GHz"
24597;62512;"SFR";"Panneau";1802181;2.50;"Directif";120.00;47.50;"GSM 900";902.50;914.90;"MHz"
24597;62512;"SFR";"Panneau";1802181;2.50;"Directif";120.00;47.50;"GSM 900";947.50;959.90;"MHz"
24597;62512;"SFR";"Panneau";1802181;2.50;"Directif";120.00;47.50;"UMTS 2100";1915.10;1920.10;"MHz"
24597;62512;"SFR";"Panneau";1802181;2.50;"Directif";120.00;47.50;"UMTS 2100";1920.50;1935.30;"MHz"
24597;62512;"SFR";"Panneau";1802181;2.50;"Directif";120.00;47.50;"UMTS 2100";2110.50;2125.30;"MHz"
