Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
19328;1.39722;44.04778;"01° 23' 50.00'' Est, 44° 02' 52.00'' Nord";"82121";"ECH A20";;"82000";"MONTAUBAN";"Pylône autostable"; 18.0;
19334;1.53583;44.22667;"01° 32' 09.00'' Est, 44° 13' 36.00'' Nord";"82119";"P.S. RAMONDOU A20";;"82270";"MONTALZAT";"Pylône autostable"; 14.0;
19342;1.10556;44.05639;"01° 06' 20.00'' Est, 44° 03' 23.00'' Nord";"82033";"VERRIÈS HAUTS OUEST";"VIERRES HAUTS OUEST";"82100";"CASTELSARRASIN";"Mât métallique"; 30.0;"Sociétés d'Autoroutes"
19346;0.97333;44.05222;"00° 58' 24.00'' Est, 44° 03' 08.00'' Nord";"82109";"ACCÈS DE SERVICE NORD";;"82210";"MERLES";"Mât métallique"; 20.0;
19372;0.99222;43.88583;"00° 59' 32.00'' Est, 43° 53' 09.00'' Nord";"82013";"LA JACOBIE";"RUE DU CIMETIÈRE";"82500";"BEAUMONT-DE-LOMAGNE";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
19378;1.77028;44.16056;"01° 46' 13.00'' Est, 44° 09' 38.00'' Nord";"82155";"CLOS DE MÉRIGOT";;"82140";"SAINT-ANTONIN-NOBLE-VAL";"Pylône autostable"; 14.0;"ORANGE Services Fixes"
40939;1.16250;43.94694;"01° 09' 45.00'' Est, 43° 56' 49.00'' Nord";"82023";"ST-MARTIN";"VC N° 3";"82700";"BOURRET";"Pylône autostable"; 58.3;"HIVORY"
62279;1.39139;43.96194;"01° 23' 29.00'' Est, 43° 57' 43.00'' Nord";"82121";"LE FAU";;"82000";"MONTAUBAN";"Monument religieux"; 14.0;"Commune, communauté de commune"
62281;1.36333;43.98472;"01° 21' 48.00'' Est, 43° 59' 05.00'' Nord";"82121";;"1574 RTE DE VIGNARNAUD STUDIOS";"82000";"MONTAUBAN";"Mât béton"; 15.0;"Titulaire programme Radio/TV"
62289;1.79694;44.13333;"01° 47' 49.00'' Est, 44° 07' 60.00'' Nord";"82155";"ESPARRE";;"82140";"SAINT-ANTONIN-NOBLE-VAL";"Pylône haubané"; 25.0;"Titulaire programme Radio/TV"
86541;1.69333;44.19611;"01° 41' 36.00'' Est, 44° 11' 46.00'' Nord";"82155";"TRÈS CANTOUS";;"82140";"SAINT-ANTONIN-NOBLE-VAL";"Pylône autostable"; 31.0;"TDF"
115073;1.08500;44.11194;"01° 05' 06.00'' Est, 44° 06' 43.00'' Nord";"82112";"CROIX DE LA FEMME";"COTE DE LANDEROZE";"82200";"MOISSAC";"Pylône haubané"; 18.0;"Titulaire programme Radio/TV"
119630;1.07333;44.36694;"01° 04' 24.00'' Est, 44° 22' 01.00'' Nord";"82117";"COULOUSSAC";"CHATEAU D'EAU";"82150";"MONTAIGU-DE-QUERCY";"Château d'eau - réservoir"; 15.0;"Syndicat des eaux, Adduction"
119660;1.53806;43.93083;"01° 32' 17.00'' Est, 43° 55' 51.00'' Nord";"82192";"PRADELS DE FOURETS";;"82230";"VERLHAC-TESCOU";"Bâtiment"; 7.0;"ORANGE Services Fixes"
172518;1.11444;44.06222;"01° 06' 52.00'' Est, 44° 03' 44.00'' Nord";"82033";"BARRE GABAS PONTEL TEULIE";"LES VERRIES HAUTS BARRE GABAS PONTEL TEULIE";"82100";"CASTELSARRASIN";"Support non décrit"; 5.0;
178562;1.00889;43.88861;"01° 00' 32.00'' Est, 43° 53' 19.00'' Nord";"82013";;"AV DU QUERCY HIPPODROME DE BORDEVIEILLE";"82500";"BEAUMONT-DE-LOMAGNE";"Support non décrit"; 10.0;
201172;0.87833;43.93611;"00° 52' 42.00'' Est, 43° 56' 10.00'' Nord";"82129";"LES BOURDETTES";"D 15";"82120";"MONTGAILLARD";"Château d'eau - réservoir"; 40.0;"Syndicat des eaux, Adduction"
295302;1.36389;44.03750;"01° 21' 50.00'' Est, 44° 02' 15.00'' Nord";"82121";;"8 R GUTENBERG Z I NORD";"82000";"MONTAUBAN";"Pylône tubulaire"; 24.0;"Copropriété, Syndic, SCI"
309795;1.50250;44.21056;"01° 30' 09.00'' Est, 44° 12' 38.00'' Nord";"82119";"CASTEL";;"82270";"MONTALZAT";"Bâtiment"; 6.0;"BOUYGUES"
324258;1.37306;44.03472;"01° 22' 23.00'' Est, 44° 02' 05.00'' Nord";"82121";;"R A DAUDET ZI NORD";"82000";"MONTAUBAN";"Bâtiment"; 10.0;
324586;1.50194;44.21083;"01° 30' 07.00'' Est, 44° 12' 39.00'' Nord";"82119";"CASTEL";;"82270";"MONTALZAT";"Pylône autostable"; 12.0;"HIVORY"
325163;0.91222;44.32222;"00° 54' 44.00'' Est, 44° 19' 20.00'' Nord";"82157";"CLOS DE BARBAU";;"82150";"SAINT-BEAUZEIL";"Pylône autostable"; 33.0;"Conseil Départemental"
328357;0.93194;44.15944;"00° 55' 55.00'' Est, 44° 09' 34.00'' Nord";"82065";"GRAND ROGER";"PRÉS D74CHATEAU D'EAU";"82400";"GASQUES";"Château d'eau - réservoir"; 30.0;"Syndicat des eaux, Adduction"
341577;0.94389;44.25833;"00° 56' 38.00'' Est, 44° 15' 30.00'' Nord";"82022";"BREL HAUT";"CHEM RURAL PRÉS D122";"82190";"BOURG-DE-VISA";"Château d'eau - réservoir"; 32.0;"Syndicat des eaux, Adduction"
353611;1.31750;43.82944;"01° 19' 03.00'' Est, 43° 49' 46.00'' Nord";"82075";"ST SARNIN";"300 CHEM BEAUSOLEIL";"82170";"GRISOLLES";"Mât béton"; 12.0;"EDF ou GDF"
354290;1.10722;44.32694;"01° 06' 26.00'' Est, 44° 19' 37.00'' Nord";"82016";"ROC DE LA CRAVE";;"82150";"BELVEZE";"Pylône autostable"; 53.0;"BOUYGUES"
403220;0.88917;44.04028;"00° 53' 21.00'' Est, 44° 02' 25.00'' Nord";"82010";;"CHEMIN DE LA FONTAINE";"82340";"BARDIGUES";"Pylône autostable"; 8.0;"ORANGE Services Fixes"
416912;1.10306;44.04833;"01° 06' 11.00'' Est, 44° 02' 54.00'' Nord";"82033";;"46 AV DU MARÉCHAL LECLERC";"82100";"CASTELSARRASIN";"Pylône tubulaire"; 24.0;"ORANGE"
438823;1.33972;44.01417;"01° 20' 23.00'' Est, 44° 00' 51.00'' Nord";"82121";"VILLEBOURBON";"R LOUIS SABATIÉ PROCHE SNCF";"82000";"MONTAUBAN";"Pylône autostable"; 39.0;"CELLNEX"
