Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
28235;60187;"SFR";"Antenne parabolique";571939;0.60;"Directif";319.60;24.00;"FH";12.80;13.20;"GHz"
28235;60187;"SFR";"Panneau";1974328;2.50;"Directif";80.00;30.00;"GSM 900";902.50;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974328;2.50;"Directif";80.00;30.00;"UMTS 900";904.90;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974328;2.50;"Directif";80.00;30.00;"GSM 900";947.50;959.90;"MHz"
28235;60187;"SFR";"Panneau";1974328;2.50;"Directif";80.00;30.00;"UMTS 900";949.90;959.90;"MHz"
28235;60187;"SFR";"Panneau";1974330;2.50;"Directif";170.00;30.00;"GSM 900";902.50;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974330;2.50;"Directif";170.00;30.00;"UMTS 900";904.90;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974330;2.50;"Directif";170.00;30.00;"GSM 900";947.50;959.90;"MHz"
28235;60187;"SFR";"Panneau";1974330;2.50;"Directif";170.00;30.00;"UMTS 900";949.90;959.90;"MHz"
28235;60187;"SFR";"Panneau";1974332;2.50;"Directif";260.00;30.00;"GSM 900";902.50;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974332;2.50;"Directif";260.00;30.00;"UMTS 900";904.90;914.90;"MHz"
28235;60187;"SFR";"Panneau";1974332;2.50;"Directif";260.00;30.00;"GSM 900";947.50;959.90;"MHz"
28235;60187;"SFR";"Panneau";1974332;2.50;"Directif";260.00;30.00;"UMTS 900";949.90;959.90;"MHz"
28235;807137;"RESEAU PRIVE";"Groundplane";2000747;1.00;"Non Directif";;36.00;"PMR";34.80;36.60;"MHz"
28235;807137;"RESEAU PRIVE";"Groundplane";2000747;1.00;"Non Directif";;36.00;"PMR";39.40;40.60;"MHz"
28235;807138;"RESEAU PRIVE";"Groundplane";2000749;1.00;"Non Directif";;36.00;"PMR";34.80;36.60;"MHz"
28235;807138;"RESEAU PRIVE";"Groundplane";2000749;1.00;"Non Directif";;36.00;"PMR";39.40;40.60;"MHz"
28271;73768;"SFR";"Antenne parabolique";2191452;0.60;"Directif";115.40;31.00;"FH";12.80;13.20;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";62424;1.80;"Directif";96.00;43.20;"FH";6425.00;6700.00;"MHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";62424;1.80;"Directif";96.00;43.20;"FH";6700.00;7075.00;"MHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";371744;0.60;"Directif";202.00;42.00;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";371746;0.30;"Directif";272.00;42.70;"FH";38.50;39.50;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";371748;0.30;"Directif";298.00;42.70;"FH";23.00;23.10;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";371750;0.60;"Directif";358.00;42.00;"FH";10.70;11.70;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";520621;0.30;"Directif";27.00;45.00;"FH";25.50;26.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";520623;0.60;"Directif";58.00;42.80;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";520625;2.40;"Directif";311.00;43.60;"FH";6425.00;6700.00;"MHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";520625;2.40;"Directif";311.00;43.60;"FH";6700.00;7075.00;"MHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462626;0.60;"Directif";221.00;44.00;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462628;0.60;"Directif";215.00;43.00;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462630;0.90;"Directif";18.00;45.00;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462632;0.60;"Directif";207.00;42.70;"FH";10.70;11.70;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462634;0.30;"Directif";290.00;42.00;"FH";81.00;84.00;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462636;0.90;"Directif";322.00;42.00;"FH";10.70;11.70;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462638;1.20;"Directif";115.00;43.00;"FH";18.80;19.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462640;0.60;"Directif";251.00;42.00;"FH";10.70;11.70;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462642;0.30;"Directif";278.00;42.00;"FH";25.50;26.30;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462644;0.30;"Directif";293.00;43.00;"FH";38.50;39.50;"GHz"
50290;303807;"BOUYGUES TELECOM";"Antenne parabolique";4462646;0.60;"Directif";152.00;42.70;"FH";10.70;11.70;"GHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"LTE 800";811.00;821.00;"MHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"LTE 800";852.00;862.00;"MHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"UMTS 900";889.90;899.90;"MHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"GSM 900";889.90;899.90;"MHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"UMTS 900";934.90;944.90;"MHz"
52706;305391;"ORANGE";"Panneau";70793;2.70;"Directif";60.00;44.00;"GSM 900";934.90;944.90;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"LTE 800";811.00;821.00;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"LTE 800";852.00;862.00;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"GSM 900";889.90;899.90;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"UMTS 900";889.90;899.90;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"GSM 900";934.90;944.90;"MHz"
52706;305391;"ORANGE";"Panneau";70795;2.70;"Directif";240.00;44.00;"UMTS 900";934.90;944.90;"MHz"
52706;830265;"ORANGE service fixe";"Antenne parabolique";3842494;0.30;"Directif";56.10;43.50;"FH";22.40;22.50;"GHz"
52706;830265;"ORANGE service fixe";"Antenne parabolique";3842494;0.30;"Directif";56.10;43.50;"FH";23.40;23.50;"GHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"LTE 800";811.00;821.00;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"LTE 800";852.00;862.00;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"GSM 900";889.90;899.90;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"GSM 900";934.90;944.90;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"UMTS 2100";1910.10;1915.10;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"UMTS 2100";1950.10;1954.90;"MHz"
67813;216093;"ORANGE";"Panneau";102717;2.70;"Directif";30.00;22.40;"UMTS 2100";1964.90;1979.70;"MHz"
