Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
7598;6.60361;47.07694;"06° 36' 13.00'' Est, 47° 04' 37.00'' Nord";"25240";;"LES FINS/LES FINS MONT VOUILLA";"25500";"LES FINS";"Support non décrit";;
7616;6.58667;47.44778;"06° 35' 12.00'' Est, 47° 26' 52.00'' Nord";"25315";"SUR LES MUROTS";"R CUVIER";"25250";"L'ISLE-SUR-LE-DOUBS";"Pylône tubulaire"; 15.0;"ORANGE Services Fixes"
7624;5.88056;47.10250;"05° 52' 50.00'' Est, 47° 06' 09.00'' Nord";"25475";"LES CARONS";"AUTOCOM FT";"25440";"QUINGEY";"Pylône tubulaire"; 10.0;"ORANGE Services Fixes"
7632;6.81528;47.35667;"06° 48' 55.00'' Est, 47° 21' 24.00'' Nord";"25393";;"COMMUNAL DE LA SALLURE ET DES RANGS";"25190";"MONTECHEROUX";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
7634;6.80972;47.35306;"06° 48' 35.00'' Est, 47° 21' 11.00'' Nord";"25393";;"R DU DR QUELET";"25190";"MONTECHEROUX";"Pylône autostable"; 10.0;"ORANGE Services Fixes"
7638;6.23889;47.24361;"06° 14' 20.00'' Est, 47° 14' 37.00'' Nord";"25078";;"DERRIÈRE LA CROIX";"25360";"BOUCLANS";"Mât"; 12.0;"ORANGE Services Fixes"
7644;6.07028;47.33833;"06° 04' 13.00'' Est, 47° 20' 18.00'' Nord";"25612";;"LES TAREILLOTS";"25870";"VIEILLEY";"Pylône tubulaire"; 10.0;"ORANGE Services Fixes"
7662;6.34167;47.09306;"06° 20' 30.00'' Est, 47° 05' 35.00'' Nord";"25424";;"GRANDE RUE AU VILLAGE";"25580";"NODS";"Pylône autostable"; 21.0;"ORANGE Services Fixes"
7664;6.38611;47.27778;"06° 23' 10.00'' Est, 47° 16' 40.00'' Nord";"25446";;"CHEM RURAL N°14";"25360";"PASSAVANT";"Pylône tubulaire"; 12.0;"ORANGE Services Fixes"
7666;6.49694;47.39389;"06° 29' 49.00'' Est, 47° 23' 38.00'' Nord";"25156";;"PL DE L'HÔTEL DE VILLE";"25340";"CLERVAL";"Bâtiment"; 10.0;"Commune, communauté de commune"
7672;6.00194;47.03444;"06° 00' 07.00'' Est, 47° 02' 04.00'' Nord";"25223";;"LE VILLAGE MAIRIE";"25330";"ETERNOZ";"Bâtiment"; 8.0;"Commune, communauté de commune"
7674;5.99917;46.97694;"05° 59' 57.00'' Est, 46° 58' 37.00'' Nord";"25420";;"L'ILE";"25330";"NANS-SOUS-SAINTE-ANNE";"Bâtiment"; 12.0;"Commune, communauté de commune"
7676;5.95222;47.09500;"05° 57' 08.00'' Est, 47° 05' 42.00'' Nord";"25171";;"CHAMPS SOUS LES RANGS ROUTE DE QUINGEY";"25440";"COURCELLES";"Bâtiment"; 8.0;"ORANGE Services Fixes"
7678;5.94750;47.02889;"05° 56' 51.00'' Est, 47° 01' 44.00'' Nord";"25416";;"LA ROCHE";"25440";"MYON";"Pylône tubulaire"; 7.0;"ORANGE Services Fixes"
7690;6.42528;47.03806;"06° 25' 31.00'' Est, 47° 02' 17.00'' Nord";"25139";"LA MONTAGNE DE LA CHAUX";"MONTBENOIT";"25650";"LA CHAUX";"Pylône autostable"; 31.0;"ANFR"
24267;6.42528;47.03778;"06° 25' 31.00'' Est, 47° 02' 16.00'' Nord";"25139";"GRANGE BRASIER";"PYLÔNE ANF (PRÈS RÉSERVOIR)";"25650";"LA CHAUX";"Pylône autostable"; 12.0;"SFR"
44580;6.13917;47.11722;"06° 08' 21.00'' Est, 47° 07' 02.00'' Nord";"25434";"LES COMBES";"RUE DES FERMES";"25290";"ORNANS";"Bâtiment"; 15.0;"Particulier"
