Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
13394;12505;"ORANGE service fixe";"Antenne parabolique";1990496;0.60;"Directif";243.00;20.00;"FH";10.70;11.70;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";1160078;0.60;"Directif";180.70;20.00;"FH";12.75;13.25;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";1160078;0.60;"Directif";180.70;20.00;"FH";12.75;13.25;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";1990500;0.60;"Directif";180.40;20.00;"FH";10.70;11.70;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";1990502;0.60;"Directif";61.60;20.00;"FH";10.70;11.70;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";2841088;0.60;"Directif";336.40;20.00;"FH";10.70;11.70;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";2841088;0.60;"Directif";336.40;20.00;"FH";10.70;11.70;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";2841090;0.60;"Directif";230.40;20.00;"FH";22.37;22.50;"GHz"
13396;12504;"ORANGE service fixe";"Antenne parabolique";2841090;0.60;"Directif";230.40;20.00;"FH";23.38;23.50;"GHz"
13402;12866;"ORANGE service fixe";"Antenne parabolique";234526;1.20;"Directif";188.00;15.00;"FH";8025.00;8175.00;"MHz"
13402;12866;"ORANGE service fixe";"Antenne parabolique";234526;1.20;"Directif";188.00;15.00;"FH";8215.00;8400.00;"MHz"
13402;12866;"ORANGE service fixe";"Antenne parabolique";1142847;1.20;"Directif";188.00;15.00;"FH";8025.00;8175.00;"MHz"
13402;12866;"ORANGE service fixe";"Antenne parabolique";1142847;1.20;"Directif";188.00;15.00;"FH";8215.00;8400.00;"MHz"
13436;117204;"Sté de Transport audiovisuel";"Antenne parabolique";3396;0.30;"Directif";24.30;16.00;"FH";8400.00;8500.00;"MHz"
13436;117204;"Sté de Transport audiovisuel";"Antenne parabolique";3396;0.30;"Directif";24.30;16.00;"FH";8400.00;8500.00;"MHz"
34301;72596;"SFR";"Panneau";24944;2.50;"Directif";0.00;28.00;"GSM 900";902.50;914.90;"MHz"
34301;72596;"SFR";"Panneau";24944;2.50;"Directif";0.00;28.00;"UMTS 900";904.90;914.90;"MHz"
34301;72596;"SFR";"Panneau";24944;2.50;"Directif";0.00;28.00;"GSM 900";947.50;959.90;"MHz"
34301;72596;"SFR";"Panneau";24944;2.50;"Directif";0.00;28.00;"UMTS 900";949.90;959.90;"MHz"
34301;72596;"SFR";"Panneau";24945;2.50;"Directif";150.00;28.00;"GSM 900";902.50;914.90;"MHz"
34301;72596;"SFR";"Panneau";24945;2.50;"Directif";150.00;28.00;"UMTS 900";904.90;914.90;"MHz"
34301;72596;"SFR";"Panneau";24945;2.50;"Directif";150.00;28.00;"GSM 900";947.50;959.90;"MHz"
34301;72596;"SFR";"Panneau";24945;2.50;"Directif";150.00;28.00;"UMTS 900";949.90;959.90;"MHz"
34301;72596;"SFR";"Antenne parabolique";400056;0.90;"Directif";145.60;39.50;"FH";19.30;19.70;"GHz"
34301;72596;"SFR";"Antenne parabolique";498363;1.20;"Directif";7.30;34.80;"FH";12.75;13.25;"GHz"
34301;72596;"SFR";"Antenne parabolique";611186;0.90;"Directif";22.90;44.50;"FH";19.30;19.70;"GHz"
34301;72596;"SFR";"Antenne parabolique";800858;0.30;"Directif";183.90;39.50;"FH";23.13;23.38;"GHz"
34301;72596;"SFR";"Antenne parabolique";841336;2.40;"Directif";191.70;35.30;"FH";6700.00;7075.00;"MHz"
