Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";3625.00;3800.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";3800.00;4200.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";5850.00;5875.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";5875.00;5905.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";5905.00;5925.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";42739;4.50;"Directif";355.00;3.00;"SAT";5925.00;6425.00;"MHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";3609058;0.60;"Directif";76.70;12.00;"FH";17.70;18.10;"GHz"
21806;8482;"ORANGE service fixe";"Antenne parabolique";3609058;0.60;"Directif";76.70;12.00;"FH";18.60;18.80;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";1941646;0.80;"Directif";246.30;7.00;"FH";17.70;18.10;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";1941646;0.80;"Directif";246.30;7.00;"FH";18.80;19.30;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";4671091;0.90;"Directif";246.30;6.00;"FH";17.70;18.10;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";4671091;0.90;"Directif";246.30;6.00;"FH";17.70;18.10;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";4671091;0.90;"Directif";246.30;6.00;"FH";18.80;19.30;"GHz"
21842;210746;"ORANGE service fixe";"Antenne parabolique";4671091;0.90;"Directif";246.30;6.00;"FH";18.80;19.30;"GHz"
21850;40213;"ORANGE service fixe";"Antenne parabolique";1608901;0.60;"Directif";90.00;5.00;"FH";17.70;18.10;"GHz"
