Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
19856;15165;"ORANGE service fixe";"Antenne parabolique";2216910;0.60;"Directif";9.60;12.00;"FH";17.70;18.10;"GHz"
19856;15165;"ORANGE service fixe";"Antenne parabolique";2216910;0.60;"Directif";9.60;12.00;"FH";18.60;18.80;"GHz"
19906;42082;"ORANGE service fixe";"Antenne parabolique";242023;2.00;"Directif";159.00;15.00;"FH";14.30;14.40;"GHz"
19906;42082;"ORANGE service fixe";"Antenne parabolique";242023;2.00;"Directif";159.00;15.00;"FH";14.50;14.50;"GHz"
19908;42083;"ORANGE service fixe";"Plan passif ou miroir";242025;1.00;"Directif";344.60;25.00;"FH";14.30;14.40;"GHz"
19908;42083;"ORANGE service fixe";"Plan passif ou miroir";242025;1.00;"Directif";344.60;25.00;"FH";14.50;14.50;"GHz"
19908;42083;"ORANGE service fixe";"Plan passif ou miroir";242027;1.00;"Directif";306.00;25.00;"FH";14.30;14.40;"GHz"
19908;42083;"ORANGE service fixe";"Plan passif ou miroir";242027;1.00;"Directif";306.00;25.00;"FH";14.50;14.50;"GHz"
19916;43061;"ORANGE service fixe";"Antenne parabolique";242065;0.60;"Directif";61.00;15.00;"FH";12.80;13.20;"GHz"
19924;48818;"ORANGE service fixe";"Antenne parabolique";2600157;0.60;"Directif";172.10;20.00;"FH";17.70;18.10;"GHz"
19924;48818;"ORANGE service fixe";"Antenne parabolique";2600157;0.60;"Directif";172.10;20.00;"FH";18.60;18.80;"GHz"
19938;8037;"CEREMA";"Fuseau";348766;;"Non Directif";;;"ANM";1782.00;2076.00;"KHz"
19944;42666;"ANFR / DTCG";"Antenne Gonio";235658;1.70;"Non Directif";;46.00;"GONIO";20.00;160.00;"MHz"
19944;42666;"ANFR / DTCG";"Antenne Gonio";235658;1.70;"Non Directif";;46.00;"GONIO";160.00;400.00;"MHz"
19944;42666;"ANFR / DTCG";"Antenne Gonio";235658;1.70;"Non Directif";;46.00;"GONIO";400.00;1350.00;"MHz"
19944;42666;"ANFR / DTCG";"Fouet";235664;2.00;"Non Directif";;40.00;"REC";20.00;80.00;"MHz"
19944;42666;"ANFR / DTCG";"Discone";235668;0.90;"Non Directif";;40.00;"REC";70.00;400.00;"MHz"
19944;42666;"ANFR / DTCG";"Discone";235676;0.40;"Non Directif";;43.00;"REC";400.00;1350.00;"MHz"
62475;193272;"Site privé";"Dipôle/Doublet";88834;2.00;"Non Directif";;30.00;"FM";87.50;108.00;"MHz"
64574;309033;"TDF";"Logarithmique/Log périodique";92954;2.00;"Directif";205.00;25.00;"FM";87.50;108.00;"MHz"
64584;309038;"TDF";"Logarithmique/Log périodique";92964;2.00;"Directif";315.00;25.00;"FM";87.50;108.00;"MHz"
64588;309040;"TDF";"Logarithmique/Log périodique";92968;2.00;"Directif";60.00;30.00;"FM";87.50;108.00;"MHz"
64825;309174;"TDF";"Logarithmique/Log périodique";93575;0.20;"Directif";60.00;14.00;"FM";87.50;108.00;"MHz"
64827;309175;"TDF";"Logarithmique/Log périodique";93577;2.00;"Directif";195.00;20.00;"FM";87.50;108.00;"MHz"
64890;309218;"TDF";"Logarithmique/Log périodique";93845;2.00;"Directif";315.00;14.00;"FM";87.50;108.00;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"LTE 800";811.00;821.00;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"LTE 800";852.00;862.00;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"UMTS 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"GSM 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"GSM 900";934.90;944.90;"MHz"
106448;206418;"ORANGE";"Panneau";191606;2.50;"Directif";40.00;23.30;"UMTS 900";934.90;944.90;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"LTE 800";811.00;821.00;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"LTE 800";852.00;862.00;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"GSM 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"UMTS 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"UMTS 900";934.90;944.90;"MHz"
106448;206418;"ORANGE";"Panneau";191607;2.50;"Directif";150.00;23.30;"GSM 900";934.90;944.90;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"LTE 800";811.00;821.00;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"LTE 800";852.00;862.00;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"GSM 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"UMTS 900";889.90;899.90;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"GSM 900";934.90;944.90;"MHz"
106448;206418;"ORANGE";"Panneau";191608;2.50;"Directif";270.00;23.30;"UMTS 900";934.90;944.90;"MHz"
117366;316389;"TDF";"Dipôle large bande";207719;2.00;"Directif";35.00;25.00;"FM";87.50;108.00;"MHz"
160385;126315;"RESEAU PRIVE";"Active (directionnelle ou omnidirectionnelle)";303111;;"Non Directif";;3.00;"PMR";30.80;32.10;"MHz"
171538;131890;"RESEAU PRIVE";"Active (directionnelle ou omnidirectionnelle)";308703;;"Non Directif";;5.00;"PMR";30.80;32.10;"MHz"
172094;132168;"RESEAU PRIVE";"Active (directionnelle ou omnidirectionnelle)";308981;;"Non Directif";;6.00;"PMR";30.80;32.10;"MHz"
173395;132818;"RESEAU PRIVE";"Active (directionnelle ou omnidirectionnelle)";309636;;"Non Directif";;12.00;"PMR";30.80;32.10;"MHz"
