Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
21842;55.47500;-21.16889;"55° 28' 30.00'' Est, 21° 10' 08.00'' Sud";"97424";;"7 R ELIARD TECHER - LA POSTE BUREAU DU PALMISTE ROUGE";"97413";"CILAOS";"Bâtiment"; 8.0;"ORANGE Services Fixes"
21850;55.51778;-21.06472;"55° 31' 04.00'' Est, 21° 03' 53.00'' Sud";"97421";"HELL BOURG";"STATION FRANCE TÉLÉCOM";"97433";"SALAZIE";"Bâtiment"; 9.0;"ORANGE Services Fixes"
21858;55.47556;-21.03222;"55° 28' 32.00'' Est, 21° 01' 56.00'' Sud";"97421";"GRAND ILET";"STATION FRANCE TÉLÉCOM";"97433";"SALAZIE";"Bâtiment"; 7.0;"ORANGE Services Fixes"
21860;55.43667;-21.15111;"55° 26' 12.00'' Est, 21° 09' 04.00'' Sud";"97424";"ILET À CORDES";;"97413";"CILAOS";"Bâtiment"; 10.0;"ORANGE Services Fixes"
44367;55.51361;-20.90917;"55° 30' 49.00'' Est, 20° 54' 33.00'' Sud";"97418";"RIVIÈRE DES PLUIES";"RUE DE LA VIERGE NOIRE CENTRE DE TRANSMISSION";"97438";"SAINTE-MARIE";"Pylône autostable"; 25.0;"ORANGE Services Fixes"
44976;55.30944;-21.04583;"55° 18' 34.00'' Est, 21° 02' 45.00'' Sud";"97415";"LE GUILLAUME";"66 RTE HUBERT DELISLE GUILLAUME RD3";"97434";"SAINT-PAUL";"Pylône autostable"; 22.0;
47165;55.30417;-21.01917;"55° 18' 15.00'' Est, 21° 01' 09.00'' Sud";"97415";;"BELLEMENE LES CANOTS";"97434";"SAINT-PAUL";"Pylône autostable"; 16.0;"Sté Réunionn. de Radiotéléph."
47169;55.57444;-21.36722;"55° 34' 28.00'' Est, 21° 22' 02.00'' Sud";"97405";"MANAPANY LES BAS";"15 IMP DES PAILLES EN QUEUE";"97429";"PETITE-ILE";"Pylône tubulaire"; 6.0;"Sté Réunionn. de Radiotéléph."
47184;55.31333;-21.14139;"55° 18' 48.00'' Est, 21° 08' 29.00'' Sud";"97413";"LA CHALOUPE";"98 R ALEXANDRE BEGUE";"97436";"SAINT-LEU";"Pylône autostable"; 16.0;"Sté Réunionn. de Radiotéléph."
47188;55.73444;-21.06944;"55° 44' 04.00'' Est, 21° 04' 10.00'' Sud";"97410";"ST FRANCOIS";"CHEM DU CAP";"97470";"SAINT-BENOIT";"Pylône autostable"; 16.0;"Sté Réunionn. de Radiotéléph."
47190;55.46083;-20.92194;"55° 27' 39.00'' Est, 20° 55' 19.00'' Sud";"97411";"ST FRANCOIS";"CHEM DES FOUGERES";"97490";"SAINT-DENIS";"Pylône tubulaire"; 6.1;"Sté Réunionn. de Radiotéléph."
47587;55.31722;-20.94694;"55° 19' 02.00'' Est, 20° 56' 49.00'' Sud";"97407";;"R THEODORE DROUET ZAC 2000 SRR";"97420";"LE PORT";"Dalle en béton"; 10.0;"Sté Réunionn. de Radiotéléph."
47825;55.49139;-20.90111;"55° 29' 29.00'' Est, 20° 54' 04.00'' Sud";"97411";;"28 RTE DE MOUFIA";"97490";"SAINT-DENIS";"Mât"; 4.0;"Outremer Telecom"
48759;55.45222;-20.88139;"55° 27' 08.00'' Est, 20° 52' 53.00'' Sud";"97411";;"35 R STE ANNE";"97490";"SAINT-DENIS";"Immeuble"; 15.0;"Société Privée SA"
50369;55.34333;-20.92528;"55° 20' 36.00'' Est, 20° 55' 31.00'' Sud";"97408";;"LES LATANIERS";"97419";"LA POSSESSION";"Immeuble"; 19.0;"Sté Réunionn. de Radiotéléph."
50377;55.56139;-21.36694;"55° 33' 41.00'' Est, 21° 22' 01.00'' Sud";"97405";;"CHEM TERRAIN PAULETTE";"97429";"PETITE-ILE";"Pylône autostable"; 16.0;"Sté Réunionn. de Radiotéléph."
50387;55.42333;-21.29889;"55° 25' 24.00'' Est, 21° 17' 56.00'' Sud";"97416";;"85 RN PIERREFONDS";"97432";"SAINT-PIERRE";"Mât béton"; 16.0;"Sté Réunionn. de Radiotéléph."
50473;55.69306;-21.00833;"55° 41' 35.00'' Est, 21° 00' 30.00'' Sud";"97410";"CAMP BEAUVALLON";"RIVIERE DES ROCHES";"97470";"SAINT-BENOIT";"Mât béton"; 16.0;"Société Privée SA"
50479;55.27306;-21.00972;"55° 16' 23.00'' Est, 21° 00' 35.00'' Sud";"97415";;"54 ET 56 R DU COMMERCE";"97434";"SAINT-PAUL";"Immeuble"; 19.0;"Particulier"
