Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
19670;4.97194;43.97917;"04° 58' 19.00'' Est, 43° 58' 45.00'' Nord";"84088";"LES VALAYANS";;"84210";"PERNES-LES-FONTAINES";"Pylône autostable"; 26.0;"ORANGE Services Fixes"
19698;4.76222;44.32306;"04° 45' 44.00'' Est, 44° 19' 23.00'' Nord";"84019";"BOIS REDON";"DOMAINE CELLIER DU DAUPHIN COLLINE DE BARRI";"84500";"BOLLENE";"Bâtiment"; 10.0;"Météo"
41793;4.88250;44.08778;"04° 52' 57.00'' Est, 44° 05' 16.00'' Nord";"84039";;"2, R DE LA CITADELLE PROPRIÉTÉ DE MR ROUX";"84350";"COURTHEZON";"Immeuble"; 14.0;"Particulier"
41795;5.00444;44.14778;"05° 00' 16.00'' Est, 44° 08' 52.00'' Nord";"84049";"LES PLATRIÈRES";"RELAIS EUROPE 2";"84190";"GIGONDAS";"Pylône haubané"; 20.0;"Titulaire programme Radio/TV"
45194;5.13444;44.18611;"05° 08' 04.00'' Est, 44° 11' 10.00'' Nord";"84069";"LA BIGAUDE";"RTE COMMUNALE 78";"84340";"MALAUCENE";"Pylône tubulaire"; 13.0;"ORANGE Services Fixes"
54887;5.25333;43.81944;"05° 15' 12.00'' Est, 43° 49' 10.00'' Nord";"84073";"PÉTUGUET";"D3";"84560";"MENERBES";"Pylône tubulaire"; 16.0;"ORANGE"
68270;4.88861;43.98278;"04° 53' 19.00'' Est, 43° 58' 58.00'' Nord";"84141";;"A7/PEAGE AVIGNON NORD  QUARTIER STE ANNE";"84270";"VEDENE";"Bâtiment"; 10.0;"ORANGE Services Fixes"
86953;5.04222;44.05583;"05° 02' 32.00'' Est, 44° 03' 21.00'' Nord";"84031";;"141 COURS DE LA PYRAMIDE";"84200";"CARPENTRAS";"Immeuble"; 17.0;"Copropriété, Syndic, SCI"
106192;4.94861;44.31333;"04° 56' 55.00'' Est, 44° 18' 48.00'' Nord";"84150";;"CAVE LES COTEAUX";"84820";"VISAN";"Local technique"; 23.0;"Commune, communauté de commune"
106208;5.02000;44.20722;"05° 01' 12.00'' Est, 44° 12' 26.00'' Nord";"84126";"QUAI COMBE";"RTE DE SABLET LA POSTE";"84110";"SEGURET";"Bâtiment"; 10.0;"Commune, communauté de commune"
106220;5.59306;43.75972;"05° 35' 35.00'' Est, 43° 45' 35.00'' Nord";"84052";"LA GRANDE BASTIDE";;"84240";"GRAMBOIS";"Pylône tubulaire"; 19.0;"ORANGE"
106228;5.12167;43.92417;"05° 07' 18.00'' Est, 43° 55' 27.00'' Nord";"84139";"LES GACHES";"PYLONE ORANGE";"84800";"FONTAINE-DE-VAUCLUSE";"Pylône autostable"; 12.0;"ORANGE"
106240;5.57639;43.70083;"05° 34' 35.00'' Est, 43° 42' 03.00'' Nord";"84010";"LES SAVELS";"CH. DE ST JULIEN RÉSERVOIR SIVOM";"84120";"LA BASTIDONNE";"Pylône tubulaire"; 15.0;"ORANGE"
106252;5.04806;44.05667;"05° 02' 53.00'' Est, 44° 03' 24.00'' Nord";"84031";;"38 R DU MOUTON";"84200";"CARPENTRAS";"Immeuble"; 19.0;"Société HLM"
106298;4.69694;44.30889;"04° 41' 49.00'' Est, 44° 18' 32.00'' Nord";"84064";"LA VERRIERE";"STADE D'ENTRAÎNEMENT";"84840";"LAPALUD";"Pylône tubulaire"; 25.0;"ORANGE"
