Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
10148;0.81556;47.05278;"00° 48' 56.00'' Est, 47° 03' 10.00'' Nord";"37130";"LES BEAUREGARDS";"ROUTE DE CHILLOIS";"37240";"LIGUEIL";"Pylône tubulaire"; 35.0;"ORANGE Services Fixes"
10172;0.16667;47.22917;"00° 10' 00.00'' Est, 47° 13' 45.00'' Nord";"37011";;"CENTRALE NUCLÉAIRE DE CHINON";"37420";"AVOINE";"Bâtiment"; 33.0;"EDF ou GDF"
10194;1.03139;47.42167;"01° 01' 53.00'' Est, 47° 25' 18.00'' Nord";"37060";"L'ARSANDRIE";;"37530";"CHARGE";"Pylône autostable"; 120.0;
10208;0.89194;47.58639;"00° 53' 31.00'' Est, 47° 35' 11.00'' Nord";"37063";;"LA BOISNIÈRE CHÂTEAU D EAU";"37110";"CHATEAU-RENAULT";"Château d'eau - réservoir"; 40.0;"Syndicat des eaux, Adduction"
10212;0.09639;47.27444;"00° 05' 47.00'' Est, 47° 16' 28.00'' Nord";"37228";;"PK 48 A85";"37140";"SAINT-NICOLAS-DE-BOURGUEIL";"Support non décrit";;
10214;0.16944;47.25639;"00° 10' 10.00'' Est, 47° 15' 23.00'' Nord";"37228";;"PK 54,5 A85";"37140";"SAINT-NICOLAS-DE-BOURGUEIL";"Support non décrit";;
10218;0.35972;47.34222;"00° 21' 35.00'' Est, 47° 20' 32.00'' Nord";"37123";;"PK 73 A 85";"37130";"LANGEAIS";"Support non décrit";;
30737;0.33444;47.32694;"00° 20' 04.00'' Est, 47° 19' 37.00'' Nord";"37227";;"LA GUÉRIVERIE";"37130";"SAINT-MICHEL-SUR-LOIRE";"Pylône autostable"; 40.0;"Sociétés d'Autoroutes"
30757;0.81111;47.42028;"00° 48' 40.00'' Est, 47° 25' 13.00'' Nord";"37281";"L'EPINAY";;"37210";"VOUVRAY";"Château d'eau - réservoir"; 54.0;"Syndicat des eaux, Adduction"
30801;0.78000;47.35444;"00° 46' 48.00'' Est, 47° 21' 16.00'' Nord";"37124";;"R DE LA BABINIÈRE CHÂTEAU D'EAU";"37270";"LARCAY";"Pylône autostable"; 12.0;"SFR"
30805;0.63861;47.44056;"00° 38' 19.00'' Est, 47° 26' 26.00'' Nord";"37151";;"2 RTE DU METTRAY";"37390";"LA MEMBROLLE-SUR-CHOISILLE";"Bâtiment"; 22.0;"Copropriété, Syndic, SCI"
60057;0.51000;47.31111;"00° 30' 36.00'' Est, 47° 18' 40.00'' Nord";"37099";;"DRUYE/A85/AUTOROUTE FM";"37190";"DRUYE";"Support non décrit";;
60059;0.57444;47.31472;"00° 34' 28.00'' Est, 47° 18' 53.00'' Nord";"37018";;"BALLAN-MIRE/AUTOROUTE FM";"37510";"BALLAN-MIRE";"Support non décrit";;
77807;0.41444;47.33250;"00° 24' 52.00'' Est, 47° 19' 57.00'' Nord";"37123";"LES VIGNES DE CLEMORTIER";"CHEM DE L'AULNAY";"37130";"LANGEAIS";"Pylône autostable"; 39.0;"FPS TOWERS"
77813;0.68944;47.40250;"00° 41' 22.00'' Est, 47° 24' 09.00'' Nord";"37261";;"10 R LOSSERAND";"37200";"TOURS";"Monument religieux"; 29.0;"Commune, communauté de commune"
77815;0.68472;47.37222;"00° 41' 05.00'' Est, 47° 22' 20.00'' Nord";"37261";;"11 R DAVID D'ANGERS";"37200";"TOURS";"Immeuble"; 53.0;"Société Privée SA"
93700;0.78833;47.29222;"00° 47' 18.00'' Est, 47° 17' 32.00'' Nord";"37104";;"STADE D'ESVRES";"37320";"ESVRES";"Pylône tubulaire"; 30.0;"ORANGE"
93708;0.16667;47.23389;"00° 10' 00.00'' Est, 47° 14' 02.00'' Nord";"37011";;"CENTRALE EDF/CHINON";"37420";"AVOINE";"Château d'eau - réservoir"; 73.0;"Syndicat des eaux, Adduction"
93750;0.69222;47.24556;"00° 41' 32.00'' Est, 47° 14' 44.00'' Nord";"37250";"CHÂTEAU D'EAU";"RTE DE MONTS.";"37250";"SORIGNY";"Château d'eau - réservoir"; 50.0;"Commune, communauté de commune"
93768;0.48778;47.44472;"00° 29' 16.00'' Est, 47° 26' 41.00'' Nord";"37182";"LE MOULIN À VENT";"CHÂTEAU D'EAU";"37230";"PERNAY";"Château d'eau - réservoir"; 34.0;"Syndicat des eaux, Adduction"
93770;0.41972;47.38750;"00° 25' 11.00'' Est, 47° 23' 15.00'' Nord";"37150";"LA TREMBLAIE";;"37130";"MAZIERES-DE-TOURAINE";"Pylône autostable"; 30.0;"ORANGE"
93772;0.49778;47.62000;"00° 29' 52.00'' Est, 47° 37' 12.00'' Nord";"37213";"LA TOUCHE";"CHEM LES BODINS";"37370";"SAINT-CHRISTOPHE-SUR-LE-NAIS";"Pylône autostable"; 32.0;"ORANGE"
93788;0.78667;47.13694;"00° 47' 12.00'' Est, 47° 08' 13.00'' Nord";"37143";"LE GRAND CLOS";"CHÂTEAU D'EAU LE GRAND CLOS";"37240";"MANTHELAN";"Château d'eau - réservoir"; 37.0;"Commune, communauté de commune"
