Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
11145;3.70083;45.31389;"03° 42' 03.00'' Est, 45° 18' 50.00'' Nord";"43048";;"SIGNAL DE ST CLAUDE";"43160";"LA CHAISE-DIEU";"Pylône autostable"; 14.0;"ORANGE Services Fixes"
11151;3.85417;45.00861;"03° 51' 15.00'' Est, 45° 00' 31.00'' Nord";"43174";;"LA GARDE";"43370";"SAINT-CHRISTOPHE-SUR-DOLAISON";"Pylône autostable"; 8.5;"TDF"
11155;4.12194;45.14389;"04° 07' 19.00'' Est, 45° 08' 38.00'' Nord";"43268";;"AV GEORGES CLÉMENCEAU CENTRAL TÉLÉPHONIQUE";"43200";"YSSINGEAUX";"Bâtiment"; 18.0;"ORANGE Services Fixes"
11159;4.23000;44.98694;"04° 13' 48.00'' Est, 44° 59' 13.00'' Nord";"43092";"LE GARAY";;"43430";"FAY-SUR-LIGNON";"Pylône autostable"; 15.0;"ORANGE Services Fixes"
11167;3.97250;45.35528;"03° 58' 21.00'' Est, 45° 21' 19.00'' Nord";"43212";"TANLAS";;"43500";"SAINT-PAL-DE-CHALENCON";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
11169;3.87528;45.13750;"03° 52' 31.00'' Est, 45° 08' 15.00'' Nord";"43230";"LA COMBE";;"43800";"SAINT-VINCENT";"Pylône autostable"; 28.0;"ORANGE Services Fixes"
11171;3.89944;45.18250;"03° 53' 58.00'' Est, 45° 10' 57.00'' Nord";"43267";"LA SIGNOLE HAUTE";"RELAIS TDF";"43800";"VOREY";"Pylône autostable"; 13.0;"ORANGE Services Fixes"
11175;3.49278;45.10861;"03° 29' 34.00'' Est, 45° 06' 31.00'' Nord";"43112";;"AV DE L AUVERGNE CENTRAL TÉLÉPHONIQUE";"43300";"LANGEAC";"Bâtiment"; 11.0;"ORANGE Services Fixes"
11179;3.95500;44.87139;"03° 57' 18.00'' Est, 44° 52' 17.00'' Nord";"43231";"BORDEYRAC";;"43150";"SALETTES";"Pylône autostable"; 14.0;"ORANGE Services Fixes"
11199;3.70944;45.28917;"03° 42' 34.00'' Est, 45° 17' 21.00'' Nord";"43237";"LES ROGUES";"STATION RADAR MÉTÉO FRANCE SEMBADEL GARE";"43160";"SEMBADEL";"Bâtiment"; 30.0;"Météo"
119595;3.85417;45.00861;"03° 51' 15.00'' Est, 45° 00' 31.00'' Nord";"43174";;"LA GARDE";"43370";"SAINT-CHRISTOPHE-SUR-DOLAISON";"Pylône autostable"; 16.0;"TDF"
173065;4.20944;45.21778;"04° 12' 34.00'' Est, 45° 13' 04.00'' Nord";"43224";;"VAUBARLET";"43600";"SAINTE-SIGOLENE";"Support non décrit"; 10.0;
173067;4.11778;45.29417;"04° 07' 04.00'' Est, 45° 17' 39.00'' Nord";"43020";;"CD42 PONT RIVE GAUCHE";"43210";"BAS-EN-BASSET";"Support non décrit"; 10.0;
173069;4.11417;45.30611;"04° 06' 51.00'' Est, 45° 18' 22.00'' Nord";"43020";;"GIE";"43210";"BAS-EN-BASSET";"Support non décrit"; 10.0;
173137;3.90889;45.06833;"03° 54' 32.00'' Est, 45° 04' 06.00'' Nord";"43046";;"LOIRE RIVE GAUCHE";"43770";"CHADRAC";"Support non décrit"; 5.0;
173139;3.90611;45.06917;"03° 54' 22.00'' Est, 45° 04' 09.00'' Nord";"43140";;"CD374 RIVE DROITE";"43700";"LE MONTEIL";"Support non décrit"; 4.0;
173141;3.92861;45.04417;"03° 55' 43.00'' Est, 45° 02' 39.00'' Nord";"43041";;"CD37 RIVE GAUCHE";"43700";"BRIVES-CHARENSAC";"Support non décrit"; 10.0;
