Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
13864;2.60222;49.19667;"02° 36' 08.00'' Est, 49° 11' 48.00'' Nord";"60612";;"SENLIS- PONTS ET CHAUSSEES";"60300";"SENLIS";"Support non décrit";;
13866;2.64250;49.42694;"02° 38' 33.00'' Est, 49° 25' 37.00'' Nord";"60223";;"ESTREES SAINT DENIS PTS ET CH";"60190";"ESTREES-SAINT-DENIS";"Support non décrit";;
13922;1.86972;49.68556;"01° 52' 11.00'' Est, 49° 41' 08.00'' Nord";"60604";;"R MARÉCHAL LECLERC PETIT HALEINE";"60210";"SARCUS";"Bâtiment"; 12.0;"ORANGE Services Fixes"
35165;2.16278;49.49972;"02° 09' 46.00'' Est, 49° 29' 59.00'' Nord";"60480";;"RTE DE FONTAI SOCIÉTÉ BORDAPE";"60510";"OROER";"Pylône autostable"; 39.7;"SFR"
35201;2.20278;49.35000;"02° 12' 10.00'' Est, 49° 21' 00.00'' Nord";"60504";"LARIS DE PONCHON";"CHEM DES TENNIS";"60430";"PONCHON";"Pylône autostable"; 45.0;"SFR"
35223;2.06139;49.32722;"02° 03' 41.00'' Est, 49° 19' 38.00'' Nord";"60455";"MALASSISE";"131, R DU GÉNÉRAL DESPEAUX ENTREPRISE DE GARNIER";"60390";"LA NEUVILLE-GARNIER";"Pylône autostable"; 47.0;"SFR"
35225;1.88861;49.30250;"01° 53' 19.00'' Est, 49° 18' 09.00'' Nord";"60630";;"VC N°2 DE THIBIVILLERS À JAMÉRICOURT";"60240";"THIBIVILLERS";"Silo"; 32.4;"Particulier"
35241;2.73917;49.19667;"02° 44' 21.00'' Est, 49° 11' 48.00'' Nord";"60047";;"LA PLAINE DE BEAULIEU LE NEUF";"60300";"BARON";"Pylône autostable"; 47.5;"SFR"
35251;2.62722;49.40750;"02° 37' 38.00'' Est, 49° 24' 27.00'' Nord";"60441";"LA PIERRE ROBERGE";"RN17";"60190";"MOYVILLERS";"Château d'eau - réservoir"; 30.0;
35255;2.57056;49.38889;"02° 34' 14.00'' Est, 49° 23' 20.00'' Nord";"60036";;"RTE D'ÉPINEUSE";"60190";"AVRIGNY";"Pylône autostable"; 36.0;"SFR"
35271;2.42861;49.26361;"02° 25' 43.00'' Est, 49° 15' 49.00'' Nord";"60414";;"38 R DU COLONEL FABIEN";"60160";"MONTATAIRE";"Immeuble"; 25.0;"SFR"
61287;2.42778;49.50556;"02° 25' 40.00'' Est, 49° 30' 20.00'' Nord";"60581";;"8 PL DU MARECHAL LECLERC";"60130";"SAINT-JUST-EN-CHAUSSEE";"Pylône autostable"; 25.0;"Titulaire programme Radio/TV"
65399;2.12806;49.43222;"02° 07' 41.00'' Est, 49° 25' 56.00'' Nord";"60628";"LA JUSTICE";;"60510";"THERDONNE";"Pylône autostable"; 17.0;"Sociétés d'Autoroutes"
65403;2.09944;49.32083;"02° 05' 58.00'' Est, 49° 19' 15.00'' Nord";"60453";"BOIS DE MOLLE";;"60790";"LA NEUVILLE-D'AUMONT";"Pylône autostable"; 20.0;"Sociétés d'Autoroutes"
65405;2.09639;49.24250;"02° 05' 47.00'' Est, 49° 14' 33.00'' Nord";"60370";"LE CHEMET";;"60110";"LORMAISON";"Pylône autostable"; 37.0;"Sociétés d'Autoroutes"
65455;2.15167;49.20972;"02° 09' 06.00'' Est, 49° 12' 35.00'' Nord";"60010";"LA CHARBONNIÉRE";;"60110";"AMBLAINVILLE";"Pylône autostable"; 17.0;"Sociétés d'Autoroutes"
81490;2.46417;49.25194;"02° 27' 51.00'' Est, 49° 15' 07.00'' Nord";"60175";;"2 R LAMARTINE";"60100";"CREIL";"Immeuble"; 63.2;
81600;2.23167;49.22361;"02° 13' 54.00'' Est, 49° 13' 25.00'' Nord";"60517";;"R PRINCIPALE DU VILLAGE PRES RN 1";"60540";"PUISEUX-LE-HAUBERGER";"Pylône autostable"; 35.0;"FPS TOWERS"
81622;2.73694;49.31361;"02° 44' 13.00'' Est, 49° 18' 49.00'' Nord";"60667";"LA CROIX DES CHAMPS";"RD 932";"60410";"VERBERIE";"Pylône autostable"; 13.0;"FPS TOWERS"
100368;2.43806;49.28944;"02° 26' 17.00'' Est, 49° 17' 22.00'' Nord";"60342";"LE GORGUET";"STADE MUNICIPAL";"60290";"LAIGNEVILLE";"Pylône tubulaire"; 27.0;"ORANGE"
100402;2.16444;49.50556;"02° 09' 52.00'' Est, 49° 30' 20.00'' Nord";"60243";"LE MONT D'ABBEVILLE";"CHATEAU D'EAU";"60480";"FONTAINE-SAINT-LUCIEN";"Château d'eau - réservoir"; 31.0;"Syndicat des eaux, Adduction"
100498;2.81667;49.53611;"02° 48' 60.00'' Est, 49° 32' 10.00'' Nord";"60206";;"CHATEAU DE BELLINGLISE";"60157";"ELINCOURT-SAINTE-MARGUERITE";"Immeuble"; 14.0;"Particulier"
100500;2.59944;49.20917;"02° 35' 58.00'' Est, 49° 12' 33.00'' Nord";"60612";;"6, AV. DE LA FORET IMM ELLEBORE";"60300";"SENLIS";"Immeuble"; 26.0;"Société HLM"
100528;2.08944;49.44750;"02° 05' 22.00'' Est, 49° 26' 51.00'' Nord";"60057";"BÂTIMENT F - ENTRÉE F";"R DIEUDONNÉ COST";"60000";"BEAUVAIS";"Immeuble"; 27.0;"Société HLM"
100534;2.47833;49.25194;"02° 28' 42.00'' Est, 49° 15' 07.00'' Nord";"60175";;"2 AV PIERRE ET MARIE CURIE";"60100";"CREIL";"Immeuble"; 23.0;"Société HLM"
114781;2.91528;49.21611;"02° 54' 55.00'' Est, 49° 12' 58.00'' Nord";"60176";;"BAS DE LA FONTAINE VAUDEMANCHE D 25";"60800";"CREPY-EN-VALOIS";"Pylône autostable"; 36.0;"Titulaire programme Radio/TV"
114789;2.49194;49.34806;"02° 29' 31.00'' Est, 49° 20' 53.00'' Nord";"60042";"DEMI LUNE";"RUE HENRI LEGRAND";"60140";"BAILLEVAL";"Pylône autostable"; 25.0;"Titulaire programme Radio/TV"
146204;2.78111;49.40972;"02° 46' 52.00'' Est, 49° 24' 35.00'' Nord";"60665";;"CARREFOUR VENETTE CCAL";"60280";"VENETTE";"Bâtiment"; 11.0;"Société Privée SA"
146308;2.13167;49.23250;"02° 07' 54.00'' Est, 49° 13' 57.00'' Nord";"60395";;"GARE DE MERU R PAUL VAILLANT COUTURIER";"60110";"MERU";"Pylône autostable"; 26.0;"SFR"
150941;2.13667;49.23000;"02° 08' 12.00'' Est, 49° 13' 48.00'' Nord";"60395";;"RESERVOIR D ERMENONVILLE";"60110";"MERU";"Support non décrit"; 10.0;
150943;2.16528;49.21750;"02° 09' 55.00'' Est, 49° 13' 03.00'' Nord";"60218";;"STATION DE POMPAGE";"60110";"ESCHES";"Support non décrit"; 10.0;
150945;2.24667;49.16583;"02° 14' 48.00'' Est, 49° 09' 57.00'' Nord";"60139";;"STATION DE POMPAGE";"60230";"CHAMBLY";"Support non décrit"; 10.0;
150947;2.23611;49.21417;"02° 14' 10.00'' Est, 49° 12' 51.00'' Nord";"60517";;"STATION DE POMPAGE";"60540";"PUISEUX-LE-HAUBERGER";"Support non décrit"; 10.0;
150949;2.28361;49.22417;"02° 17' 01.00'' Est, 49° 13' 27.00'' Nord";"60450";;"BACHES";"60530";"NEUILLY-EN-THELLE";"Support non décrit"; 10.0;
150951;2.10972;49.24333;"02° 06' 35.00'' Est, 49° 14' 36.00'' Nord";"60570";;"FORAGE";"60149";"SAINT-CREPIN-IBOUVILLERS";"Support non décrit"; 10.0;
158321;3.10333;49.17056;"03° 06' 12.00'' Est, 49° 10' 14.00'' Nord";"60385";;"19 RUE DE L'EGLISE MAIRIE";"60890";"MAROLLES";"Bâtiment"; 12.0;"Commune, communauté de commune"
160649;2.98083;49.66000;"02° 58' 51.00'' Est, 49° 39' 36.00'' Nord";"60263";;"R D EN BAS";"60640";"FRETOY-LE-CHATEAU";"Support non décrit"; 15.0;
162370;2.63722;49.42611;"02° 38' 14.00'' Est, 49° 25' 34.00'' Nord";"60223";;"R DE COMPIEGNE";"60190";"ESTREES-SAINT-DENIS";"Support non décrit"; 12.0;
162372;2.74861;49.36222;"02° 44' 55.00'' Est, 49° 21' 44.00'' Nord";"60402";"LA CROISETTE";"PARKING POIDS LOURDS LA CROISETTE";"60880";"LE MEUX";"Support non décrit"; 5.0;
162374;2.65417;49.37111;"02° 39' 15.00'' Est, 49° 22' 16.00'' Nord";"60284";;"RTE DE CHEVRIERES";"60680";"GRANDFRESNOY";"Support non décrit"; 5.0;
162802;2.78917;49.35583;"02° 47' 21.00'' Est, 49° 21' 21.00'' Nord";"60338";;"R RNIONALE";"60610";"LACROIX-SAINT-OUEN";"Support non décrit"; 11.0;
168936;2.00694;49.40778;"02° 00' 25.00'' Est, 49° 24' 28.00'' Nord";"60523";;"1 RUE DE L'EGLISE MAIRIE";"60155";"RAINVILLERS";"Bâtiment"; 12.0;"Commune, communauté de commune"
170802;2.35889;49.16250;"02° 21' 32.00'' Est, 49° 09' 45.00'' Nord";"60086";;"PL DE L EGLISE";"60820";"BORAN-SUR-OISE";"Support non décrit"; 10.0;
173229;2.65500;49.36944;"02° 39' 18.00'' Est, 49° 22' 10.00'' Nord";"60284";;"SICAE";"60680";"GRANDFRESNOY";"Support non décrit"; 8.0;
173445;2.25083;49.44944;"02° 15' 03.00'' Est, 49° 26' 58.00'' Nord";"60230";;"6 GRANDE RUE";"60510";"LE FAY-SAINT-QUENTIN";"Bâtiment"; 10.0;"Société Privée SA"
176766;2.86389;49.46833;"02° 51' 50.00'' Est, 49° 28' 06.00'' Nord";"60368";;"20 R DES ECOLES";"60150";"LONGUEIL-ANNEL";"Support non décrit"; 16.0;
179977;2.42694;49.38306;"02° 25' 37.00'' Est, 49° 22' 59.00'' Nord";"60157";"BUREAUX";"R DU PONT DE PIERRE BUREAUX";"60600";"CLERMONT";"Support non décrit"; 20.0;
181629;2.77389;49.36056;"02° 46' 26.00'' Est, 49° 21' 38.00'' Nord";"60338";"STATION D EPURATION";"R PAUL EMILE VICTOR STATION D EPURATION";"60610";"LACROIX-SAINT-OUEN";"Support non décrit";;
181633;2.86667;49.44000;"02° 52' 00.00'' Est, 49° 26' 24.00'' Nord";"60151";;"RTE DU MOULIN A TAN CHEM RURAL N 17";"60750";"CHOISY-AU-BAC";"Support non décrit";;
195697;2.86111;49.53778;"02° 51' 40.00'' Est, 49° 32' 16.00'' Nord";"60206";;"SITE DMZ ECOUVILLON";"60157";"ELINCOURT-SAINTE-MARGUERITE";"Support non décrit"; 43.0;
195713;2.06972;49.43611;"02° 04' 11.00'' Est, 49° 26' 10.00'' Nord";"60057";;"74 R ST JUST DES MARAIS";"60000";"BEAUVAIS";"Support non décrit"; 7.0;
