Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
14572;13466;"CEREMA";"Cierge/Perche";598606;1.00;"Non Directif";;44.00;"ANM";432.00;434.00;"MHz"
14608;11902;"ORANGE service fixe";"Yagi";1455649;0.70;"Directif";264.40;32.00;"FH ABI";456.00;460.00;"MHz"
14608;11902;"ORANGE service fixe";"Yagi";1455649;0.70;"Directif";264.40;32.00;"FH ABI";466.00;470.00;"MHz"
14608;11902;"ORANGE service fixe";"Antenne parabolique";3768005;0.90;"Directif";337.00;29.00;"FH";6425.00;6700.00;"MHz"
14608;11902;"ORANGE service fixe";"Antenne parabolique";3768005;0.90;"Directif";337.00;29.00;"FH";6425.00;6700.00;"MHz"
14608;11902;"ORANGE service fixe";"Antenne parabolique";3768005;0.90;"Directif";337.00;29.00;"FH";6700.00;7075.00;"MHz"
14608;11902;"ORANGE service fixe";"Antenne parabolique";3768005;0.90;"Directif";337.00;29.00;"FH";6700.00;7075.00;"MHz"
14612;14600;"ORANGE service fixe";"Antenne parabolique";537766;2.40;"Directif";180.10;20.00;"FH";8175.00;8215.00;"MHz"
14612;14600;"ORANGE service fixe";"Antenne parabolique";537766;2.40;"Directif";180.10;20.00;"FH";8400.00;8500.00;"MHz"
14612;14600;"ORANGE service fixe";"Antenne parabolique";537768;1.20;"Directif";234.20;42.00;"FH";12.80;13.20;"GHz"
14614;14601;"ORANGE service fixe";"Plan passif ou miroir";264482;12.00;"Directif";54.20;20.00;"FH";12.80;13.20;"GHz"
14614;14601;"ORANGE service fixe";"Plan passif ou miroir";538182;12.00;"Directif";119.00;20.00;"FH";12.80;13.20;"GHz"
14616;14602;"ORANGE service fixe";"Antenne parabolique";538180;0.60;"Directif";299.00;9.00;"FH";12.80;13.20;"GHz"
14620;17241;"ORANGE service fixe";"Plan passif ou miroir";847981;4.00;"Directif";358.20;19.00;"FH";12.80;13.20;"GHz"
14620;17241;"ORANGE service fixe";"Plan passif ou miroir";847983;4.00;"Directif";248.60;19.00;"FH";12.80;13.20;"GHz"
14622;17242;"ORANGE service fixe";"Antenne parabolique";264965;0.60;"Directif";186.40;23.00;"FH";12.80;13.20;"GHz"
14622;17242;"ORANGE service fixe";"Antenne parabolique";264965;0.60;"Directif";186.40;23.00;"FH";12.80;13.20;"GHz"
14622;17242;"ORANGE service fixe";"Antenne parabolique";847954;1.80;"Directif";68.60;23.00;"FH";12.80;13.20;"GHz"
14622;17242;"ORANGE service fixe";"Yagi";1455641;0.70;"Directif";207.60;15.00;"FH ABI";154.00;156.00;"MHz"
14622;17242;"ORANGE service fixe";"Yagi";1455641;0.70;"Directif";207.60;15.00;"FH ABI";157.40;160.60;"MHz"
14622;17242;"ORANGE service fixe";"Antenne parabolique";4083548;0.30;"Directif";339.10;23.50;"FH";22.40;22.50;"GHz"
14622;17242;"ORANGE service fixe";"Antenne parabolique";4083548;0.30;"Directif";339.10;23.50;"FH";22.40;22.50;"GHz"
14636;24682;"ORANGE service fixe";"Yagi";1440564;0.70;"Directif";341.00;23.00;"FH ABI";154.00;156.00;"MHz"
14636;24682;"ORANGE service fixe";"Yagi";1440564;0.70;"Directif";341.00;23.00;"FH ABI";157.40;160.60;"MHz"
14636;24682;"ORANGE service fixe";"Yagi";1440568;0.70;"Directif";319.00;23.00;"FH ABI";154.00;156.00;"MHz"
14636;24682;"ORANGE service fixe";"Yagi";1440568;0.70;"Directif";319.00;23.00;"FH ABI";157.40;160.60;"MHz"
14636;24682;"ORANGE service fixe";"Yagi";1464200;0.70;"Directif";341.00;23.00;"FH ABI";154.00;156.00;"MHz"
14636;24682;"ORANGE service fixe";"Yagi";1464200;0.70;"Directif";341.00;23.00;"FH ABI";157.40;160.60;"MHz"
14640;41958;"ORANGE service fixe";"Antenne parabolique";3609051;0.90;"Directif";173.10;11.50;"FH";18.60;18.80;"GHz"
14648;48839;"ORANGE service fixe";"Antenne parabolique";4516577;0.30;"Directif";355.50;7.00;"FH";22.40;22.50;"GHz"
14648;48839;"ORANGE service fixe";"Antenne parabolique";5569014;0.30;"Directif";207.60;7.00;"FH";37.50;38.00;"GHz"
14674;117715;"TOWERCAST";"Antenne parabolique";3703;0.90;"Directif";136.00;20.50;"FH";8400.00;8500.00;"MHz"
14674;117715;"TOWERCAST";"Antenne parabolique";2636196;0.70;"Directif";219.00;10.00;"FH";8400.00;8500.00;"MHz"
55549;194091;"TDF";"Logarithmique/Log périodique";80565;2.00;"Directif";110.00;14.00;"FM";87.50;108.00;"MHz"
64594;309043;"TDF";"Logarithmique/Log périodique";92974;0.20;"Directif";305.00;31.00;"FM";87.50;108.00;"MHz"
64608;309050;"TDF";"Logarithmique/Log périodique";92988;0.20;"Directif";290.00;23.00;"FM";87.50;108.00;"MHz"
64614;309053;"TDF";"Logarithmique/Log périodique";92994;0.20;"Directif";315.00;28.00;"FM";87.50;108.00;"MHz"
64809;309166;"TDF";"Logarithmique/Log périodique";93559;2.00;"Directif";280.00;40.00;"FM";87.50;108.00;"MHz"
64819;309171;"TDF";"Logarithmique/Log périodique";93569;2.00;"Directif";290.00;20.00;"FM";87.50;108.00;"MHz"
64843;309183;"TDF";"Logarithmique/Log périodique";93593;0.20;"Directif";270.00;40.00;"FM";87.50;108.00;"MHz"
64892;309219;"TDF";"Logarithmique/Log périodique";93847;0.20;"Directif";310.00;27.50;"FM";87.50;108.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"LTE 800";791.00;801.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"LTE 800";832.00;842.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"GSM 900";880.10;889.90;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"GSM 900";925.10;934.90;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"LTE 1800";1765.00;1785.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"GSM 1800";1765.00;1785.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"LTE 1800";1860.00;1880.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"GSM 1800";1860.00;1880.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"UMTS 2100";1900.10;1905.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"UMTS 2100";1935.30;1950.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141742;2.00;"Directif";40.00;9.00;"UMTS 2100";2125.30;2140.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"LTE 800";791.00;801.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"LTE 800";832.00;842.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"GSM 900";880.10;889.90;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"GSM 900";925.10;934.90;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"LTE 1800";1765.00;1785.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"GSM 1800";1765.00;1785.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"GSM 1800";1860.00;1880.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"LTE 1800";1860.00;1880.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"UMTS 2100";1900.10;1905.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"UMTS 2100";1935.30;1950.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141744;2.00;"Directif";115.00;9.00;"UMTS 2100";2125.30;2140.10;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141745;2.00;"Directif";230.00;5.50;"LTE 800";791.00;801.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141745;2.00;"Directif";230.00;5.50;"LTE 800";832.00;842.00;"MHz"
82328;193739;"BOUYGUES TELECOM";"Panneau";141745;2.00;"Directif";230.00;5.50;"GSM 900";880.10;889.90;"MHz"
