Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1436697;8.82028;41.95611;"08° 49' 13.00'' Est, 41° 57' 22.00'' Nord";"2A271";"COMPAGNIE DES EAUX";"PLAINE DE PÉRI BALÉONE";"20167";"SARROLA-CARCOPINO";"Mât"; 4.0;"ORANGE Services Fixes"
1441648;8.75833;41.93528;"08° 45' 30.00'' Est, 41° 56' 07.00'' Nord";"2A004";;"RUE ANDRÉ TOURANJON";"20090";"AJACCIO";"Bâtiment"; 15.0;"Titulaire programme Radio/TV"
1463977;8.81083;41.96722;"08° 48' 39.00'' Est, 41° 58' 02.00'' Nord";"2A271";"COLOMBINA";"ROUTE DES VIGNES";"20167";"SARROLA-CARCOPINO";"Pylône autostable"; 22.5;"ORANGE"
1478916;8.59444;41.87861;"08° 35' 40.00'' Est, 41° 52' 43.00'' Nord";"2A004";"PHARE DES SANGUINAIRES";"SÉMAPHORE";"20000";"AJACCIO";"Phare"; 19.0;"Phares et balises"
1479269;8.75389;41.93611;"08° 45' 14.00'' Est, 41° 56' 10.00'' Nord";"2A004";;"RUE DES CIGALES";"20000";"AJACCIO";"Bâtiment"; 44.2;"Copropriété, Syndic, SCI"
1495617;9.27833;41.59250;"09° 16' 42.00'' Est, 41° 35' 33.00'' Nord";"2A247";;"5 RUE  MARECHAL LECLERC POLICE MUNICIPALE";"20137";"PORTO-VECCHIO";"Immeuble"; 10.0;"Commune, communauté de commune"
1495619;9.19417;41.65139;"09° 11' 39.00'' Est, 41° 39' 05.00'' Nord";"2A247";;"RTE DE L OSPEDALE OSPEDALE";"20137";"PORTO-VECCHIO";"Bâtiment"; 6.0;"Commune, communauté de commune"
1525151;8.74972;41.94028;"08° 44' 59.00'' Est, 41° 56' 25.00'' Nord";"2A004";;"AVENUE DU MARECHAL JUIN RES LES DAHLIAS";"20000";"AJACCIO";"Immeuble"; 50.6;"Copropriété, Syndic, SCI"
1542705;8.73722;41.92111;"08° 44' 14.00'' Est, 41° 55' 16.00'' Nord";"2A004";;"COURS NAPOLEON";"20000";"AJACCIO";"Immeuble"; 27.0;"Copropriété, Syndic, SCI"
1559039;9.18472;41.66917;"09° 11' 05.00'' Est, 41° 40' 09.00'' Nord";"2A247";"COL DE MELA";;"20137";"PORTO-VECCHIO";"Pylône autostable"; 15.0;"Société Privée SA"
1559056;9.13861;41.42333;"09° 08' 19.00'' Est, 41° 25' 24.00'' Nord";"2A041";"MONT CORBU";;"20169";"BONIFACIO";"Pylône autostable"; 15.0;"Société Privée SA"
1575727;9.13861;41.42333;"09° 08' 19.00'' Est, 41° 25' 24.00'' Nord";"2A041";"MONTE CORBU";;"20169";"BONIFACIO";"Pylône autostable"; 18.0;"Titulaire programme Radio/TV"
1575730;9.13861;41.42333;"09° 08' 19.00'' Est, 41° 25' 24.00'' Nord";"2A041";"MONTE CORBU";;"20169";"BONIFACIO";"Pylône autostable"; 18.0;"EDF ou GDF"
1580375;8.80667;41.95083;"08° 48' 24.00'' Est, 41° 57' 03.00'' Nord";"2A271";"CALDANICCIA - MAT TUBULAIRE";"D72";"20167";"SARROLA-CARCOPINO";"Mât métallique"; 12.0;"EDF ou GDF"
1581813;8.89556;42.03694;"08° 53' 44.00'' Est, 42° 02' 13.00'' Nord";"2A323";"FUMINICCIA";"CHÂTEAU D'EAU";"20167";"TAVACO";"Château d'eau - réservoir"; 18.0;"Commune, communauté de commune"
1582134;8.89556;42.03694;"08° 53' 44.00'' Est, 42° 02' 13.00'' Nord";"2A323";;"RÉSERVOIR FIUMINICCIA";"20167";"TAVACO";"Pylône autostable"; 18.0;"Société Privée SA"
1617144;8.91667;41.69556;"08° 54' 60.00'' Est, 41° 41' 44.00'' Nord";"2A189";"CIPINIELLO";;"20113";"OLMETO";"Pylône autostable"; 14.0;"ORANGE"
1625380;8.87806;42.00944;"08° 52' 41.00'' Est, 42° 00' 34.00'' Nord";"2A209";"CHIOSU CUMMUNU";"PLAINE DE PERI RN 193";"20167";"PERI";"Pylône autostable"; 30.0;"CELLNEX"
1625387;8.96111;41.96694;"08° 57' 40.00'' Est, 41° 58' 01.00'' Nord";"2A326";"BOCCA DEL MERCUJO";;"20117";"TOLLA";"Mât"; 10.5;"ATC FRANCE"
1628055;8.72944;41.91500;"08° 43' 46.00'' Est, 41° 54' 54.00'' Nord";"2A004";;"HOSPICE EUGENIE AV PASCAL ROSSINI";"20000";"AJACCIO";"Bâtiment"; 27.0;"Etablissement de soins"
1628061;8.75361;41.93417;"08° 45' 13.00'' Est, 41° 56' 03.00'' Nord";"2A004";;"QUARTIER ST JOSEPH COURS PRINCE IMPÉRIAL";"20000";"AJACCIO";"Bâtiment"; 8.0;"Société Privée SA"
1628067;8.73944;41.92972;"08° 44' 22.00'' Est, 41° 55' 47.00'' Nord";"2A004";;"COURS NAPOLÉON PL DE LA GARE";"20000";"AJACCIO";"Bâtiment"; 9.0;"Commune, communauté de commune"
1628074;8.79389;41.92222;"08° 47' 38.00'' Est, 41° 55' 20.00'' Nord";"2A004";;"AÉROPORT CAMPO DELL'ORO AÉROCLUB";"20000";"AJACCIO";"Pylône tubulaire"; 16.6;"HIVORY"
1628082;8.73306;41.92056;"08° 43' 59.00'' Est, 41° 55' 14.00'' Nord";"2A004";;"R SYLVESTRE FRASSETO RÉSIDENCE BELVEDERE PACCOSI";"20000";"AJACCIO";"Immeuble"; 19.0;"Copropriété, Syndic, SCI"
1628559;8.68806;41.97417;"08° 41' 17.00'' Est, 41° 58' 27.00'' Nord";"2A006";"L'ESCAJOLA";;"20167";"ALATA";"Pylône autostable"; 21.0;"HIVORY"
1632509;8.75250;41.80361;"08° 45' 09.00'' Est, 41° 48' 13.00'' Nord";"2A098";;"SAN SISTRO ROUTE DE LA CASTAGNE";"20138";"COTI-CHIAVARI";"Pylône tubulaire"; 12.0;"ORANGE"
1632739;8.81000;41.89444;"08° 48' 36.00'' Est, 41° 53' 40.00'' Nord";"2A130";"MARINA VIVA";"HÔTEL CLUB MARINA VIVA";"20128";"GROSSETO-PRUGNA";"Château d'eau - réservoir"; 6.4;"Commune, communauté de commune"
1632760;8.79972;41.98778;"08° 47' 59.00'' Est, 41° 59' 16.00'' Nord";"2A001";"CASA MARTINO";"RTE DU STADE";"20167";"AFA";"Pylône tubulaire"; 19.0;"SFR"
1632784;8.89833;41.69361;"08° 53' 54.00'' Est, 41° 41' 37.00'' Nord";"2A189";"CAGINA";"PRES DE LA D157-RESERVOIR";"20113";"OLMETO";"Pylône autostable"; 17.0;"BOUYGUES"
1632799;8.71389;41.97222;"08° 42' 50.00'' Est, 41° 58' 20.00'' Nord";"2A006";"SAN GUAVINO";"TERRAIN FERRUCCI";"20167";"ALATA";"Pylône autostable"; 17.8;"HIVORY"
1632872;8.73028;41.92389;"08° 43' 49.00'' Est, 41° 55' 26.00'' Nord";"2A004";"LE BELVÉDÈRE";"CHEM USINE DE SALARIO";"20000";"AJACCIO";"Pylône autostable"; 29.0;"SFR"
1632879;8.70500;41.91028;"08° 42' 18.00'' Est, 41° 54' 37.00'' Nord";"2A004";"CANICCIO";"RTE DES SANGUINAIRES";"20000";"AJACCIO";"Pylône tubulaire"; 14.0;"ORANGE"
1632885;8.76861;41.95222;"08° 46' 07.00'' Est, 41° 57' 08.00'' Nord";"2A004";"PORCELONE";"CHEM DE RANOCHIETTO PÉPINIÈRE DU BOIS FLEURI";"20000";"AJACCIO";"Pylône autostable"; 18.0;"HIVORY"
1632898;8.77389;41.92917;"08° 46' 26.00'' Est, 41° 55' 45.00'' Nord";"2A004";;"RTE DU VAZZIO - LOT DU RICANTO";"20000";"AJACCIO";"Immeuble"; 12.0;"Société Privée SA"
1632904;8.71167;41.92500;"08° 42' 42.00'' Est, 41° 55' 30.00'' Nord";"2A004";;"RTE DE ST ANTOINE VILLA ORCA";"20000";"AJACCIO";"Local technique"; 7.1;"SFR"
1634565;8.67694;42.11667;"08° 40' 37.00'' Est, 42° 07' 00.00'' Nord";"2A348";"LISCIA";;"20160";"VICO";"Pylône tubulaire"; 9.5;"SFR"
1635136;9.05028;42.08500;"09° 03' 01.00'' Est, 42° 05' 06.00'' Nord";"2A040";"STOLLO";"RTE DU STADE PRÈS DU CIMETIÈRE DE DE LA RN 193";"20136";"BOCOGNANO";"Pylône autostable"; 30.0;"TDF"
1635462;9.17833;41.37389;"09° 10' 42.00'' Est, 41° 22' 26.00'' Nord";"2A041";"SÉMAPHORE DE PERTUSATO";"ROUTE DU SÉMAPHORE";"20169";"BONIFACIO";"Sémaphore"; 20.0;"Autres"
1637394;8.74472;42.25806;"08° 44' 41.00'' Est, 42° 15' 29.00'' Nord";"2A198";;"QUARTIER CAPO SOTTANO - EGLISE D'OTA";"20150";"OTA";"Monument religieux"; 26.0;"SFR"
1637429;8.84222;41.97694;"08° 50' 32.00'' Est, 41° 58' 37.00'' Nord";"2A103";"POZZO ROSSO";"VILLA LABESSE - APIETTO";"20167";"CUTTOLI-CORTICCHIATO";"Bâtiment"; 8.7;"SFR"
1646860;9.24361;41.40389;"09° 14' 37.00'' Est, 41° 24' 14.00'' Nord";"2A041";;"DOMAINE MARINA DI FIORI";"20169";"BONIFACIO";"Pylône autostable"; 10.0;"CELLNEX"
1647190;9.10528;41.88806;"09° 06' 19.00'' Est, 41° 53' 17.00'' Nord";"2A359";"PORCARECCIA";;"20132";"ZICAVO";"Pylône autostable"; 21.4;"HIVORY"
1647213;8.79417;41.72361;"08° 47' 39.00'' Est, 41° 43' 25.00'' Nord";"2A276";"CONTRA GROSSA";"NATIONALE RVOIR DE SERRA DI FERRO";"20140";"SERRA-DI-FERRO";"Château d'eau - réservoir"; 12.5;"Syndicat des eaux, Adduction"
1647254;9.14417;41.66861;"09° 08' 39.00'' Est, 41° 40' 07.00'' Nord";"2A061";"PIANTARELLA";"RTE DÉPART. RD 59 - ORONE";"20170";"CARBINI";"Mât"; 6.6;"SFR"
1647262;8.78472;41.82556;"08° 47' 05.00'' Est, 41° 49' 32.00'' Nord";"2A228";"MACCUTELLO";"CHEM D'ACCELASCA";"20166";"PIETROSELLA";"Pylône tubulaire"; 8.0;"HIVORY"
1648188;8.79111;41.83972;"08° 47' 28.00'' Est, 41° 50' 23.00'' Nord";"2A228";"CASTELLO ROSSO";"CHEMIN DE TAMBONU";"20166";"PIETROSELLA";"Pylône tubulaire"; 8.0;"ATC FRANCE"
1649513;9.25528;41.52250;"09° 15' 19.00'' Est, 41° 31' 21.00'' Nord";"2A247";"SANTA GIULIADURABILE";"ROUTE DE BONIFACIO";"20137";"PORTO-VECCHIO";"Pylône tubulaire"; 21.0;"ATC FRANCE"
1652595;8.72861;41.92639;"08° 43' 43.00'' Est, 41° 55' 35.00'' Nord";"2A004";;"AV DE LA GRANDE ARMÉE RÉSIDENCE LE NAPOLÉON - LES JARDINS DE L'EMPEREUR";"20000";"AJACCIO";"Immeuble"; 34.0;"Copropriété, Syndic, SCI"
1663201;8.94889;41.49889;"08° 56' 56.00'' Est, 41° 29' 56.00'' Nord";"2A272";"COL DE ROCCAPINA";"RN 196  L'OASIS DU LION";"20100";"SARTENE";"Bâtiment"; 14.0;"Particulier"
1676337;8.95750;41.58972;"08° 57' 27.00'' Est, 41° 35' 23.00'' Nord";"2A127";"ACQUELLA";"RTE RVOIR DE GIUNCHETTO";"20100";"GIUNCHETO";"Pylône autostable"; 21.5;"HIVORY"
1676351;9.06833;41.69944;"09° 04' 06.00'' Est, 41° 41' 58.00'' Nord";"2A308";"MONTE PIANE MAGGIORE";"CASTAGNETO SANT'ANDREA";"20112";"SAINTE-LUCIE-DE-TALLANO";"Pylône autostable"; 17.0;"HIVORY"
1676419;8.90861;41.66667;"08° 54' 31.00'' Est, 41° 39' 60.00'' Nord";"2A249";"TURICCIOLA";"RESIDENCE LES HAMEAUX";"20110";"PROPRIANO";"Pylône autostable"; 15.0;"HIVORY"
1677017;9.27250;41.60139;"09° 16' 21.00'' Est, 41° 36' 05.00'' Nord";"2A247";;"RTE DE L'OSPELADE QUARTIER PORETTA";"20137";"PORTO-VECCHIO";"Pylône autostable"; 22.0;"HIVORY"
1677021;9.19194;41.65167;"09° 11' 31.00'' Est, 41° 39' 06.00'' Nord";"2A247";"CHIARELLA";;"20137";"PORTO-VECCHIO";"Pylône tubulaire"; 25.0;"HIVORY"
1677041;9.22528;41.40472;"09° 13' 31.00'' Est, 41° 24' 17.00'' Nord";"2A041";"GURGAZO";"L'EPAVE";"20169";"BONIFACIO";"Pylône autostable"; 7.0;"HIVORY"
1677047;9.16306;41.38944;"09° 09' 47.00'' Est, 41° 23' 22.00'' Nord";"2A041";"GIOVASOLE";"QUAI JÉRÔME COMPARETTI HÔTEL SOLEMARE";"20169";"BONIFACIO";"Immeuble"; 22.0;"Société Privée SA"
1677759;9.21444;41.43222;"09° 12' 52.00'' Est, 41° 25' 56.00'' Nord";"2A041";"L'INSETUNI";;"20169";"BONIFACIO";"Bâtiment"; 7.0;"Société Privée SA"
1679074;9.12444;41.49778;"09° 07' 28.00'' Est, 41° 29' 52.00'' Nord";"2A114";"MUFRONE";;"20114";"FIGARI";"Pylône tubulaire"; 12.7;"HIVORY"
1691473;9.31944;41.64222;"09° 19' 10.00'' Est, 41° 38' 32.00'' Nord";"2A247";"HAMEAU DE TORRA ARGHIOLA";"COLONNA D'ISTRIA";"20137";"PORTO-VECCHIO";"Pylône tubulaire"; 12.0;"ATC FRANCE"
1695644;8.64222;42.21722;"08° 38' 32.00'' Est, 42° 13' 02.00'' Nord";"2A212";"SAN MARTINU";"D81";"20115";"PIANA";"Pylône tubulaire"; 6.0;"HIVORY"
1697440;8.73778;41.92556;"08° 44' 16.00'' Est, 41° 55' 32.00'' Nord";"2A004";;"4 AV PASCAL PAOLI";"20000";"AJACCIO";"Immeuble"; 18.2;"Copropriété, Syndic, SCI"
1707423;9.09694;41.71583;"09° 05' 49.00'' Est, 41° 42' 57.00'' Nord";"2A142";"CANAPALA";"RTE DU PIANU";"20170";"LEVIE";"Pylône autostable"; 18.0;"HIVORY"
1715295;8.73917;41.92139;"08° 44' 21.00'' Est, 41° 55' 17.00'' Nord";"2A004";;"QUAI L'HERMINIER CHAMBRE DE COMMERCE ET D'INDUSTRIE";"20000";"AJACCIO";"Bâtiment"; 15.0;"Etat, Ministère"
1717978;8.72806;41.95472;"08° 43' 41.00'' Est, 41° 57' 17.00'' Nord";"2A004";"BÉTHANIE";;"20000";"AJACCIO";"Pylône autostable"; 13.0;"HIVORY"
1719365;9.22361;41.47111;"09° 13' 25.00'' Est, 41° 28' 16.00'' Nord";"2A041";;"BD RN 198 - DISCOTHÈQUE";"20169";"BONIFACIO";"Pylône tubulaire"; 13.0;"HIVORY"
1721787;9.36306;41.65306;"09° 21' 47.00'' Est, 41° 39' 11.00'' Nord";"2A362";"VALLICONE";"CHEM DE CIRENDINO";"20124";"ZONZA";"Château d'eau - réservoir"; 5.0;"Commune, communauté de commune"
1722667;8.79833;41.98833;"08° 47' 54.00'' Est, 41° 59' 18.00'' Nord";"2A001";;"STADE COMMUNAL VILLAGE D'AFA";"20167";"AFA";"Pylône autostable"; 20.0;"ORANGE"
1735650;8.76556;41.98306;"08° 45' 56.00'' Est, 41° 58' 59.00'' Nord";"2A006";"PIETROSELLA";"PRÈS NOUVEAU RÉSERVOIR";"20167";"ALATA";"Pylône autostable"; 13.5;"ORANGE"
1737572;8.76861;41.76833;"08° 46' 07.00'' Est, 41° 46' 06.00'' Nord";"2A098";"BOCCA DI CHIALON";"SITE ITAS";"20138";"COTI-CHIAVARI";"Pylône autostable"; 12.0;"TDF"
1742335;8.72722;41.91806;"08° 43' 38.00'' Est, 41° 55' 05.00'' Nord";"2A004";;"15 BD BENIELLI IMMEUBLE LES GÊNETS";"20000";"AJACCIO";"Immeuble"; 22.0;"Copropriété, Syndic, SCI"
1748411;9.28111;41.61000;"09° 16' 52.00'' Est, 41° 36' 36.00'' Nord";"2A247";;"AVENUE DE BASTIA";"20137";"PORTO-VECCHIO";"Pylône autostable"; 26.0;"IFW-FREE"
1749403;8.79194;41.86278;"08° 47' 31.00'' Est, 41° 51' 46.00'' Nord";"2A008";"COLLETA DI BERALDINO";;"20128";"ALBITRECCIA";"Pylône tubulaire"; 12.0;"Particulier"
1756321;8.73639;41.91889;"08° 44' 11.00'' Est, 41° 55' 08.00'' Nord";"2A004";;"1 RUE EMMANUEL ARÈNE";"20000";"AJACCIO";"Immeuble"; 19.5;"Copropriété, Syndic, SCI"
1756326;8.72972;41.91750;"08° 43' 47.00'' Est, 41° 55' 03.00'' Nord";"2A004";;"9 CRS GÉNÉRAL LECLERC";"20000";"AJACCIO";"Immeuble"; 27.0;"Copropriété, Syndic, SCI"
1762535;9.19833;41.40389;"09° 11' 54.00'' Est, 41° 24' 14.00'' Nord";"2A041";"MUSELLA";"CHEM RURAL STADE DE MUSELLA SANTA MANZA";"20169";"BONIFACIO";"Pylône autostable"; 36.0;"ORANGE"
1763390;8.76861;41.76778;"08° 46' 07.00'' Est, 41° 46' 04.00'' Nord";"2A098";"BARBUZZA";;"20138";"COTI-CHIAVARI";"Pylône autostable"; 24.0;"HIVORY"
1766847;9.06750;41.62833;"09° 04' 03.00'' Est, 41° 37' 42.00'' Nord";"2A115";"MAGGIOLO";"ROUTE DE VIGNALELLA D 265";"20100";"FOCE";"Pylône autostable"; 35.4;"HIVORY"
1792074;8.75167;42.02861;"08° 45' 06.00'' Est, 42° 01' 43.00'' Nord";"2A048";"MARIJANCA";;"20111";"CALCATOGGIO";"Pylône autostable"; 16.7;"TDF"
1810123;9.09833;41.49944;"09° 05' 54.00'' Est, 41° 29' 58.00'' Nord";"2A114";;"AEROPORT FIGARI SUD CORSE";"20114";"FIGARI";"Bâtiment"; 6.0;"Aviation Civile"
1814430;8.79444;41.91917;"08° 47' 40.00'' Est, 41° 55' 09.00'' Nord";"2A004";;"AÉROPORT AJACCIO NAPOLEON BONAPARTE";"20000";"AJACCIO";"Bâtiment"; 7.0;"Société Privée SA"
