Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
13922;52957;"ORANGE service fixe";"Antenne parabolique";2928304;0.60;"Directif";120.40;11.00;"FH";17.70;18.10;"GHz"
13922;52957;"ORANGE service fixe";"Antenne parabolique";5914044;0.60;"Directif";120.40;12.00;"FH";17.70;18.10;"GHz"
13922;52957;"ORANGE service fixe";"Antenne parabolique";5914044;0.60;"Directif";120.40;12.00;"FH";17.70;18.10;"GHz"
35225;100705;"SFR";"Antenne parabolique";681871;0.60;"Directif";78.30;24.30;"FH";10.70;11.70;"GHz"
35225;100705;"SFR";"Antenne parabolique";1141208;0.60;"Directif";6.50;27.00;"FH";22.20;22.40;"GHz"
35225;100705;"SFR";"Antenne parabolique";3580560;1.20;"Directif";319.10;27.40;"FH";6700.00;7075.00;"MHz"
35225;100705;"SFR";"Antenne parabolique";3580562;0.30;"Directif";250.30;27.40;"FH";25.50;26.30;"GHz"
35225;100705;"SFR";"Antenne parabolique";3580564;0.60;"Directif";78.30;27.40;"FH";38.50;39.50;"GHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"GSM 900";904.90;914.90;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"GSM 900";949.90;959.90;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"UMTS 2100";1915.10;1920.10;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"UMTS 2100";1920.50;1935.30;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"UMTS 2100";1959.90;1964.90;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"UMTS 2100";2110.50;2125.30;"MHz"
35241;104202;"SFR";"Panneau";26544;2.60;"Directif";40.00;46.80;"UMTS 2100";2149.90;2154.90;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"GSM 900";904.90;914.90;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"GSM 900";949.90;959.90;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"UMTS 2100";1915.10;1920.10;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"UMTS 2100";1920.50;1935.30;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"UMTS 2100";1959.90;1964.90;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"UMTS 2100";2110.50;2125.30;"MHz"
35241;104202;"SFR";"Panneau";26545;2.60;"Directif";170.00;37.60;"UMTS 2100";2149.90;2154.90;"MHz"
35241;104202;"SFR";"Antenne parabolique";101393;0.60;"Directif";147.90;46.30;"FH";18900.00;19680.00;"KHz"
35241;104202;"SFR";"Antenne parabolique";101419;0.60;"Directif";180.10;40.80;"FH";25.50;26.30;"GHz"
35241;104202;"SFR";"Antenne parabolique";1714502;0.60;"Directif";171.30;36.80;"FH";22.20;22.40;"GHz"
61287;86701;"Site privé";"Dipôle/Doublet";88240;2.00;"Directif";70.00;25.00;"FM";87.50;108.00;"MHz"
65405;309634;"Société d'autoroute";"Logarithmique/Log périodique";95459;2.00;"Directif";0.00;30.00;"FM";87.50;108.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139083;1.90;"Directif";270.00;47.10;"GSM 900";880.10;889.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139083;1.90;"Directif";270.00;47.10;"GSM 900";925.10;934.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139085;2.60;"Directif";270.00;46.70;"GSM 1800";1765.00;1785.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139085;2.60;"Directif";270.00;46.70;"GSM 1800";1860.00;1880.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139086;2.60;"Directif";30.00;46.70;"GSM 1800";1765.00;1785.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139086;2.60;"Directif";30.00;46.70;"GSM 1800";1860.00;1880.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139087;1.90;"Directif";30.00;47.10;"GSM 900";880.10;889.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139087;1.90;"Directif";30.00;47.10;"GSM 900";925.10;934.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139088;2.60;"Directif";150.00;46.70;"GSM 1800";1765.00;1785.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139088;2.60;"Directif";150.00;46.70;"GSM 1800";1860.00;1880.00;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139089;1.90;"Directif";150.00;47.10;"GSM 900";880.10;889.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Panneau";139089;1.90;"Directif";150.00;47.10;"GSM 900";925.10;934.90;"MHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351981;0.30;"Directif";356.00;48.20;"FH";38.50;39.50;"GHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351985;0.30;"Directif";56.00;49.50;"FH";38.50;39.50;"GHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351989;0.30;"Directif";180.00;48.60;"FH";23.00;23.10;"GHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351993;0.30;"Directif";227.00;49.60;"FH";23.10;23.40;"GHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351995;0.90;"Directif";282.00;50.30;"FH";12.80;13.20;"GHz"
81490;71276;"BOUYGUES TELECOM";"Antenne parabolique";351997;1.20;"Directif";76.00;48.90;"FH";19.30;19.70;"GHz"
