Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
7770;5.41556;44.96972;"05° 24' 56.00'' Est, 44° 58' 11.00'' Nord";"26074";;"AV DES BRUYÈRES PRÈS DU CIMETIÈRE";"26420";"LA CHAPELLE-EN-VERCORS";"Pylône autostable"; 18.0;"ORANGE Services Fixes"
7784;5.35750;44.41167;"05° 21' 27.00'' Est, 44° 24' 42.00'' Nord";"26264";"LES MAZELIÈRES";;"26510";"REMUZAT";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
7786;5.38056;44.48972;"05° 22' 50.00'' Est, 44° 29' 23.00'' Nord";"26215";"STE CATHERINE";;"26470";"LA MOTTE-CHALANCON";"Pylône autostable"; 12.0;"ORANGE Services Fixes"
7788;5.26944;44.57083;"05° 16' 10.00'' Est, 44° 34' 15.00'' Nord";"26321";"BRAME FAN";"ROCHE CLOT";"26340";"SAINT-NAZAIRE-LE-DESERT";"Pylône autostable"; 24.0;"ORANGE Services Fixes"
7794;5.10944;44.91361;"05° 06' 34.00'' Est, 44° 54' 49.00'' Nord";"26232";"LES CHARIGNONS";"D 68";"26120";"PEYRUS";"Pylône autostable"; 20.0;"ORANGE Services Fixes"
7806;5.57861;44.50444;"05° 34' 43.00'' Est, 44° 30' 16.00'' Nord";"26361";"PIÉ BACOU";"LE BOURG - DÉPARTEMENTALE 106";"26310";"VALDROME";"Bâtiment"; 6.0;"ORANGE Services Fixes"
7808;5.60389;44.48167;"05° 36' 14.00'' Est, 44° 28' 54.00'' Nord";"26361";"SERRE DES PRORETS";"D 806";"26310";"VALDROME";"Mât"; 12.0;"ORANGE Services Fixes"
7812;5.46528;44.51611;"05° 27' 55.00'' Est, 44° 30' 58.00'' Nord";"26300";"CHAMPIA";;"26310";"SAINT-DIZIER-EN-DIOIS";"Pylône autostable"; 6.0;"ORANGE Services Fixes"
7814;5.42694;44.53806;"05° 25' 37.00'' Est, 44° 32' 17.00'' Nord";"26047";;"CHEM DEPART 61";"26470";"BELLEGARDE-EN-DIOIS";"Bâtiment"; 13.0;"ORANGE Services Fixes"
7834;5.09167;44.84611;"05° 05' 30.00'' Est, 44° 50' 46.00'' Nord";"26100";"PAS DE LA BOUSSIÈRE";"MARQUET";"26120";"COMBOVIN";"Pylône autostable"; 26.0;"ANFR"
27921;5.08806;44.40000;"05° 05' 17.00'' Est, 44° 23' 60.00'' Nord";"26367";"CHÂTEAU RATIER";;"26110";"VENTEROL";"Mât métallique"; 8.0;"SFR"
27939;5.01833;44.90417;"05° 01' 06.00'' Est, 44° 54' 15.00'' Nord";"26064";;"31, AV DE ROMANS ETS PERRIER";"26120";"CHABEUIL";"Bâtiment"; 22.0;"Société Privée SA"
27949;4.93000;45.13083;"04° 55' 48.00'' Est, 45° 07' 51.00'' Nord";"26177";"LES BLACHES D'ERRIENS";;"26260";"MARSAZ";"Pylône autostable"; 32.0;"SFR"
28015;5.32778;44.77417;"05° 19' 40.00'' Est, 44° 46' 27.00'' Nord";"26246";"GRAVELAS DE BONNEFOND";;"26150";"PONET-ET-SAINT-AUBAN";"Pylône autostable"; 25.0;"SFR"
51228;5.26889;44.40833;"05° 16' 08.00'' Est, 44° 24' 30.00'' Nord";"26288";"REILLANE";;"26510";"SAHUNE";"Pylône autostable"; 20.0;"SFR"
51566;4.93194;44.82278;"04° 55' 55.00'' Est, 44° 49' 22.00'' Nord";"26124";"LES FORETS";;"26800";"ETOILE-SUR-RHONE";"Pylône autostable"; 29.0;"TDF"
55283;4.86056;44.73028;"04° 51' 38.00'' Est, 44° 43' 49.00'' Nord";"26144";;"MONT-BRIAN";"26400";"GRANE";"Pylône autostable"; 29.2;"TDF"
55344;5.26000;44.70694;"05° 15' 36.00'' Est, 44° 42' 25.00'' Nord";"26368";;"LES BROUES DU MOULIN";"26340";"VERCHENY";"Bâtiment"; 6.0;"ORANGE Services Fixes"
75523;4.99444;44.45583;"04° 59' 40.00'' Est, 44° 27' 21.00'' Nord";"26348";"LES CONDAMINES";;"26770";"TAULIGNAN";"Pylône autostable"; 17.0;"TDF"
75527;4.96972;45.28417;"04° 58' 11.00'' Est, 45° 17' 03.00'' Nord";"26330";"CHÂTEAU FEUILLET";;"26210";"SAINT-SORLIN-EN-VALLOIRE";"Pylône autostable"; 12.0;"FPS TOWERS"
