Numéro de support;Numéro Cartoradio;"Exploitant";"Type d'antenne";Numéro d'antenne;Dimension de l'antenne;"Directivité";Azimut;Hauteur / sol;"Système";Début;Fin;"Unité"
12888;18553;"ORANGE service fixe";"Antenne parabolique";232142;1.80;"Directif";291.00;22.00;"FH";6425.00;6700.00;"MHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";232142;1.80;"Directif";291.00;22.00;"FH";6700.00;7075.00;"MHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";232148;1.20;"Directif";291.00;21.00;"FH";8025.00;8175.00;"MHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";232148;1.20;"Directif";291.00;21.00;"FH";8215.00;8400.00;"MHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";1691979;0.30;"Directif";294.90;21.00;"FH";12.75;13.25;"GHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";2793825;0.90;"Directif";346.90;21.00;"FH";17.70;18.10;"GHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";2793825;0.90;"Directif";346.90;21.00;"FH";18.60;18.80;"GHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";2793825;0.90;"Directif";346.90;21.00;"FH";18.80;19.30;"GHz"
12888;18553;"ORANGE service fixe";"Antenne parabolique";3712211;0.60;"Directif";279.70;18.00;"FH";12.75;13.25;"GHz"
12906;15399;"ORANGE service fixe";"Plan passif ou miroir";70927;3.00;"Directif";297.00;14.00;"FH";12.75;13.25;"GHz"
12906;15399;"ORANGE service fixe";"Plan passif ou miroir";70929;3.00;"Directif";258.00;14.00;"FH";12.75;13.25;"GHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";618137;1.20;"Directif";135.80;13.00;"FH";6425.00;6700.00;"MHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";618137;1.20;"Directif";135.80;13.00;"FH";6700.00;7075.00;"MHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";618137;1.20;"Directif";135.80;13.00;"FH";6700.00;7075.00;"MHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";3788463;0.60;"Directif";135.80;13.00;"FH";17.70;18.10;"GHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";3788463;0.60;"Directif";135.80;13.00;"FH";17.70;18.10;"GHz"
12916;18598;"ORANGE service fixe";"Antenne parabolique";3788463;0.60;"Directif";135.80;13.00;"FH";18.60;18.80;"GHz"
